hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 141-1  2.655e+02  [0 1.000e+00 2.095e-05 1.635e-07]  [59 -156 0]
 NS 141-2  2.665e+02  [-6 4.590e-01 9.615e-06 5.589e-07]  [57 -144 87]
 NS 141-3  2.673e+02  [-24 5.645e-02 1.182e-06 6.188e-07]  [57 -143 89]
 NS 141-4s 2.687e+02  [-44 5.640e-03 1.181e-07 1.173e-07]  [60 -160 83]
 NS 142-1  2.696e+02  [0 1.000e+00 1.804e-05 3.389e-07]  [57 -149 82]
 NS 142-2  2.708e+02  [-10 2.924e-01 5.273e-06 2.021e-07]  [58 -154 83]
 NS 142-3s 2.717e+02  [-30 2.893e-02 5.218e-07 2.277e-07]  [57 -153 77]
 NS 143-1  2.726e+02  [0 1.000e+00 2.069e-05 3.174e-07]  [57 -150 73]
 NS 143-2  2.735e+02  [-17 1.407e-01 2.911e-06 3.531e-07]  [57 -149 84]
 NS 143-3s 2.744e+02  [-39 1.061e-02 2.195e-07 3.804e-07]  [57 -148 84]
 NS 144-1  2.752e+02  [0 1.000e+00 1.838e-05 9.270e-07]  [55 -139 77]
 NS 144-2  2.759e+02  [-21 8.640e-02 1.588e-06 2.107e-07]  [58 -154 82]
 NS 144-3s 2.768e+02  [-45 5.072e-03 9.324e-08 5.441e-07]  [56 -144 86]
 NS 145-1  2.777e+02  [0 1.000e+00 1.416e-05 9.447e-07]  [55 -139 79]
 NS 145-2s 2.783e+02  [-24 5.940e-02 8.410e-07 7.340e-07]  [57 -141 82]
 NS 146-1  2.793e+02  [0 1.000e+00 1.002e-05 4.695e-07]  [57 -146 88]
 NS 146-2s 2.802e+02  [-27 4.254e-02 4.262e-07 6.717e-07]  [56 -142 87]
 NS 147-1  2.812e+02  [0 1.000e+00 6.702e-06 4.504e-07]  [57 -146 83]
 NS 147-2s 2.820e+02  [-30 2.993e-02 2.006e-07 5.143e-07]  [58 -145 82]
 NS 148-1  2.830e+02  [0 1.000e+00 4.312e-06 4.628e-07]  [57 -146 85]
 NS 148-2s 2.837e+02  [-33 2.091e-02 9.019e-08 6.708e-07]  [56 -142 84]
 NS 149-1  2.847e+02  [0 1.000e+00 2.699e-06 4.420e-07]  [57 -146 86]
 NS 149-2s 2.857e+02  [-35 1.698e-02 4.583e-08 7.845e-07]  [56 -141 88]
 NS 150-1  2.867e+02  [0 1.000e+00 1.653e-06 4.276e-07]  [57 -147 71]
 NS 150-2s 2.874e+02  [-34 1.824e-02 3.015e-08 5.365e-07]  [58 -144 83]
