---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 651-1  9.561e+02  [0 1.000e+00 1.118e-05 2.927e-07]  [46 -150 0]
 NS 651-2  9.566e+02  [-7 4.270e-01 4.776e-06 7.926e-07]  [42 -140 72]
 NS 651-3s 9.571e+02  [-23 6.893e-02 7.709e-07 9.257e-07]  [39 -139 70]
 NS 652-1  9.577e+02  [0 1.000e+00 8.238e-06 2.754e-07]  [46 -151 69]
 NS 652-2  9.581e+02  [-10 3.140e-01 2.587e-06 7.558e-07]  [42 -141 73]
 NS 652-3s 9.586e+02  [-26 4.584e-02 3.776e-07 8.382e-07]  [39 -140 70]
 NS 653-1  9.591e+02  [0 1.000e+00 8.666e-06 8.547e-07]  [45 -140 69]
 NS 653-2  9.596e+02  [-15 1.649e-01 1.429e-06 8.136e-07]  [42 -140 72]
 NS 653-3s 9.601e+02  [-33 2.221e-02 1.925e-07 2.804e-07]  [41 -151 71]
 NS 654-1  9.606e+02  [0 1.000e+00 7.558e-06 3.078e-07]  [45 -150 69]
 NS 654-2s 9.611e+02  [-19 1.033e-01 7.808e-07 7.686e-07]  [41 -141 71]
 NS 655-1  9.616e+02  [0 1.000e+00 5.793e-06 3.835e-07]  [45 -148 69]
 NS 655-2s 9.621e+02  [-23 7.040e-02 4.078e-07 9.209e-07]  [40 -139 71]
 NS 656-1  9.626e+02  [0 1.000e+00 4.081e-06 3.457e-07]  [45 -149 69]
 NS 656-2s 9.631e+02  [-26 4.981e-02 2.032e-07 6.517e-07]  [41 -142 71]
 NS 657-1  9.636e+02  [0 1.000e+00 2.725e-06 4.522e-07]  [45 -146 69]
 NS 657-2s 9.641e+02  [-28 3.666e-02 9.989e-08 7.803e-07]  [40 -141 71]
 NS 658-1  9.646e+02  [0 1.000e+00 1.757e-06 2.559e-07]  [45 -152 69]
 NS 658-2s 9.652e+02  [-30 3.035e-02 5.335e-08 5.224e-07]  [46 -145 73]
 NS 659-1  9.657e+02  [0 1.000e+00 1.106e-06 2.405e-07]  [45 -152 69]
 NS 659-2s 9.662e+02  [-30 2.993e-02 3.311e-08 9.862e-07]  [43 -138 72]
 NS 660-1s 9.668e+02  [0 1.000e+00 6.821e-07 2.806e-07]  [45 -151 68]
