hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 151-1  2.883e+02  [0 1.000e+00 4.831e-04 7.345e-07]  [59 -141 0]
 NS 151-2  2.889e+02  [-1 8.200e-01 3.962e-04 7.884e-07]  [53 -141 75]
 NS 151-3  2.897e+02  [-17 1.412e-01 6.824e-05 8.873e-07]  [52 -139 84]
 NS 151-4  2.903e+02  [-35 1.773e-02 8.567e-06 5.473e-07]  [54 -144 80]
 NS 151-5s 2.908e+02  [-53 2.062e-03 9.964e-07 7.942e-07]  [54 -140 77]
 NS 152-1  2.914e+02  [0 1.000e+00 4.718e-04 4.506e-07]  [55 -146 78]
 NS 152-2  2.920e+02  [-8 3.883e-01 1.832e-04 3.946e-07]  [55 -147 82]
 NS 152-3  2.925e+02  [-23 6.906e-02 3.258e-05 9.955e-07]  [48 -138 83]
 NS 152-4  2.940e+02  [-40 9.188e-03 4.335e-06 6.262e-07]  [53 -143 90]
 NS 152-5s 2.950e+02  [-59 1.117e-03 5.269e-07 3.698e-07]  [55 -148 81]
 NS 153-1  2.956e+02  [0 1.000e+00 4.951e-04 2.588e-07]  [55 -152 76]
 NS 153-2  2.970e+02  [-15 1.656e-01 8.197e-05 7.121e-07]  [55 -142 91]
 NS 153-3  2.985e+02  [-30 2.981e-02 1.476e-05 3.598e-07]  [53 -148 83]
 NS 153-4  3.003e+02  [-47 4.113e-03 2.037e-06 7.542e-07]  [52 -141 86]
 NS 153-5s 3.012e+02  [-65 5.059e-04 2.505e-07 3.336e-07]  [61 -149 75]
 NS 154-1  3.017e+02  [0 1.000e+00 4.173e-04 2.851e-07]  [55 -151 73]
 NS 154-2  3.025e+02  [-20 9.718e-02 4.055e-05 8.559e-07]  [63 -140 90]
 NS 154-3  3.029e+02  [-35 1.711e-02 7.139e-06 3.187e-07]  [53 -150 79]
 NS 154-4s 3.033e+02  [-52 2.309e-03 9.636e-07 8.377e-07]  [53 -140 74]
 NS 155-1  3.038e+02  [0 1.000e+00 3.130e-04 8.724e-07]  [52 -140 72]
 NS 155-2  3.045e+02  [-22 7.129e-02 2.231e-05 2.391e-07]  [62 -152 88]
 NS 155-3  3.050e+02  [-38 1.216e-02 3.807e-06 4.742e-07]  [53 -146 81]
 NS 155-4s 3.054e+02  [-56 1.572e-03 4.921e-07 9.781e-07]  [51 -138 74]
 NS 156-1  3.059e+02  [0 1.000e+00 2.190e-04 9.097e-07]  [52 -139 80]
 NS 156-2  3.063e+02  [-25 5.418e-02 1.187e-05 6.680e-07]  [55 -142 80]
 NS 156-3  3.067e+02  [-40 9.431e-03 2.065e-06 4.058e-07]  [54 -147 78]
 NS 156-4s 3.078e+02  [-58 1.217e-03 2.666e-07 5.466e-07]  [53 -144 88]
 NS 157-1  3.090e+02  [0 1.000e+00 1.458e-04 9.226e-07]  [52 -139 74]
 NS 157-2  3.102e+02  [-27 4.119e-02 6.005e-06 8.094e-07]  [50 -140 85]
 NS 157-3  3.114e+02  [-42 7.399e-03 1.079e-06 7.145e-07]  [55 -142 86]
 NS 157-4s 3.125e+02  [-60 9.755e-04 1.422e-07 7.078e-07]  [50 -142 85]
 NS 158-1  3.138e+02  [0 1.000e+00 9.353e-05 9.329e-07]  [52 -139 83]
 NS 158-2  3.151e+02  [-29 3.337e-02 3.121e-06 5.535e-07]  [52 -144 86]
 NS 158-3s 3.163e+02  [-44 5.984e-03 5.597e-07 3.700e-07]  [54 -148 83]
 NS 159-1  3.172e+02  [0 1.000e+00 5.827e-05 9.416e-07]  [52 -139 77]
 NS 159-2  3.180e+02  [-30 3.023e-02 1.761e-06 9.416e-07]  [57 -139 83]
 NS 159-3s 3.186e+02  [-45 5.172e-03 3.014e-07 4.357e-07]  [53 -146 79]
 NS 160-1  3.195e+02  [0 1.000e+00 3.549e-05 9.354e-07]  [52 -139 73]
 NS 160-2  3.203e+02  [-30 2.836e-02 1.006e-06 7.514e-07]  [56 -141 88]
 NS 160-3s 3.209e+02  [-46 4.694e-03 1.666e-07 7.579e-07]  [52 -141 82]
