hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 211-1  4.161e+02  [0 1.000e+00 1.690e-04 9.375e-07]  [53 -139 0]
 NS 211-2  4.165e+02  [-3 6.742e-01 1.139e-04 8.414e-07]  [53 -140 77]
 NS 211-3  4.169e+02  [-17 1.368e-01 2.312e-05 8.358e-07]  [54 -140 77]
 NS 211-4  4.174e+02  [-34 1.897e-02 3.206e-06 6.515e-07]  [56 -142 84]
 NS 211-5s 4.180e+02  [-53 2.218e-03 3.748e-07 6.392e-07]  [54 -143 71]
 NS 212-1  4.186e+02  [0 1.000e+00 2.324e-04 9.071e-07]  [52 -139 70]
 NS 212-2  4.191e+02  [-12 2.470e-01 5.739e-05 7.793e-07]  [55 -141 85]
 NS 212-3  4.196e+02  [-26 4.885e-02 1.135e-05 3.955e-07]  [53 -147 77]
 NS 212-4  4.200e+02  [-43 7.067e-03 1.642e-06 9.674e-07]  [55 -138 79]
 NS 212-5s 4.204e+02  [-61 8.527e-04 1.982e-07 5.249e-07]  [60 -145 80]
 NS 213-1  4.208e+02  [0 1.000e+00 2.601e-04 8.866e-07]  [50 -139 72]
 NS 213-2  4.211e+02  [-19 1.065e-01 2.769e-05 8.966e-07]  [53 -139 79]
 NS 213-3  4.215e+02  [-33 2.001e-02 5.205e-06 4.004e-07]  [53 -147 81]
 NS 213-4s 4.220e+02  [-50 3.032e-03 7.887e-07 7.955e-07]  [55 -140 76]
 NS 214-1  4.224e+02  [0 1.000e+00 2.241e-04 9.771e-07]  [52 -138 75]
 NS 214-2  4.229e+02  [-24 6.011e-02 1.347e-05 9.525e-07]  [54 -139 70]
 NS 214-3  4.233e+02  [-39 1.058e-02 2.372e-06 2.659e-07]  [56 -151 83]
 NS 214-4s 4.238e+02  [-55 1.654e-03 3.708e-07 7.754e-07]  [57 -141 81]
 NS 215-1  4.243e+02  [0 1.000e+00 1.696e-04 8.465e-07]  [52 -140 77]
 NS 215-2  4.247e+02  [-27 4.115e-02 6.978e-06 7.539e-07]  [55 -141 80]
 NS 215-3  4.251e+02  [-43 7.035e-03 1.193e-06 8.762e-07]  [55 -139 80]
 NS 215-4s 4.255e+02  [-59 1.069e-03 1.813e-07 9.533e-07]  [54 -139 79]
 NS 216-1  4.259e+02  [0 1.000e+00 1.189e-04 8.258e-07]  [50 -140 77]
 NS 216-2  4.263e+02  [-30 3.146e-02 3.742e-06 3.746e-07]  [54 -148 79]
 NS 216-3s 4.269e+02  [-44 5.723e-03 6.807e-07 3.927e-07]  [57 -148 84]
 NS 217-1  4.273e+02  [0 1.000e+00 7.930e-05 8.083e-07]  [50 -140 71]
 NS 217-2  4.277e+02  [-31 2.521e-02 1.999e-06 5.816e-07]  [61 -144 82]
 NS 217-3s 4.282e+02  [-46 4.925e-03 3.905e-07 8.764e-07]  [53 -139 80]
 NS 218-1  4.286e+02  [0 1.000e+00 5.094e-05 8.170e-07]  [54 -140 75]
 NS 218-2  4.291e+02  [-33 2.084e-02 1.062e-06 9.122e-07]  [59 -139 83]
 NS 218-3s 4.295e+02  [-47 4.173e-03 2.125e-07 3.840e-07]  [54 -148 78]
 NS 219-1  4.299e+02  [0 1.000e+00 3.178e-05 9.836e-07]  [52 -138 73]
 NS 219-2s 4.305e+02  [-34 1.893e-02 6.014e-07 7.093e-07]  [52 -142 84]
 NS 220-1  4.309e+02  [0 1.000e+00 1.939e-05 9.840e-07]  [51 -138 65]
 NS 220-2s 4.313e+02  [-34 1.841e-02 3.570e-07 2.811e-07]  [55 -151 78]
