hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 71-1  1.308e+02  [0 1.000e+00 3.844e-05 8.311e-07]  [53 -140 0]
 NS 71-2  1.314e+02  [-1 8.563e-01 3.291e-05 6.987e-07]  [51 -142 82]
 NS 71-3  1.319e+02  [-16 1.553e-01 5.971e-06 9.244e-07]  [51 -139 80]
 NS 71-4s 1.325e+02  [-33 2.042e-02 7.849e-07 4.917e-07]  [52 -145 76]
 NS 72-1  1.331e+02  [0 1.000e+00 3.252e-05 5.377e-07]  [54 -144 77]
 NS 72-2  1.337e+02  [-6 4.751e-01 1.545e-05 7.288e-07]  [50 -141 81]
 NS 72-3  1.343e+02  [-20 8.988e-02 2.923e-06 8.123e-07]  [52 -140 82]
 NS 72-4s 1.348e+02  [-38 1.231e-02 4.002e-07 7.927e-07]  [51 -140 78]
 NS 73-1  1.354e+02  [0 1.000e+00 3.521e-05 5.735e-07]  [54 -144 81]
 NS 73-2  1.361e+02  [-14 1.916e-01 6.746e-06 9.543e-07]  [51 -139 83]
 NS 73-3  1.366e+02  [-28 3.802e-02 1.339e-06 6.629e-07]  [52 -142 75]
 NS 73-4s 1.371e+02  [-45 5.384e-03 1.896e-07 8.986e-07]  [51 -139 78]
 NS 74-1  1.379e+02  [0 1.000e+00 3.002e-05 3.935e-07]  [54 -147 76]
 NS 74-2  1.385e+02  [-19 1.090e-01 3.272e-06 7.570e-07]  [51 -141 74]
 NS 74-3s 1.391e+02  [-33 2.106e-02 6.322e-07 5.615e-07]  [54 -144 80]
 NS 75-1  1.398e+02  [0 1.000e+00 2.272e-05 3.367e-07]  [54 -149 81]
 NS 75-2  1.403e+02  [-21 8.154e-02 1.852e-06 6.579e-07]  [51 -142 82]
 NS 75-3s 1.408e+02  [-36 1.468e-02 3.335e-07 1.000e-06]  [53 -138 79]
 NS 76-1  1.414e+02  [0 1.000e+00 1.595e-05 3.383e-07]  [54 -149 74]
 NS 76-2  1.421e+02  [-23 6.386e-02 1.018e-06 2.925e-07]  [52 -150 86]
 NS 76-3s 1.427e+02  [-38 1.149e-02 1.833e-07 8.557e-07]  [53 -140 82]
 NS 77-1  1.433e+02  [0 1.000e+00 1.064e-05 3.561e-07]  [54 -148 74]
 NS 77-2s 1.438e+02  [-26 4.873e-02 5.185e-07 6.743e-07]  [50 -142 72]
 NS 78-1  1.444e+02  [0 1.000e+00 6.841e-06 3.527e-07]  [54 -149 77]
 NS 78-2s 1.451e+02  [-28 3.849e-02 2.633e-07 8.394e-07]  [50 -140 83]
 NS 79-1  1.457e+02  [0 1.000e+00 4.268e-06 3.332e-07]  [54 -149 80]
 NS 79-2s 1.464e+02  [-29 3.450e-02 1.473e-07 7.880e-07]  [52 -141 80]
 NS 80-1  1.471e+02  [0 1.000e+00 2.604e-06 3.211e-07]  [54 -150 75]
 NS 80-2s 1.476e+02  [-30 3.107e-02 8.088e-08 8.948e-07]  [58 -139 83]
