hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 351-1  6.053e+02  [0 1.000e+00 1.156e-05 8.241e-07]  [53 -140 0]
 NS 351-2  6.058e+02  [-5 5.189e-01 5.998e-06 6.597e-07]  [54 -142 77]
 NS 351-3  6.064e+02  [-19 1.017e-01 1.176e-06 5.136e-07]  [54 -145 85]
 NS 351-4s 6.073e+02  [-36 1.556e-02 1.798e-07 5.872e-08]  [55 -167 84]
 NS 352-1  6.080e+02  [0 1.000e+00 2.148e-05 8.356e-07]  [51 -140 58]
 NS 352-2  6.091e+02  [-16 1.585e-01 3.405e-06 6.378e-07]  [55 -143 88]
 NS 352-3s 6.096e+02  [-29 3.162e-02 6.793e-07 5.655e-08]  [65 -167 81]
 NS 353-1  6.102e+02  [0 1.000e+00 2.480e-05 6.097e-07]  [53 -143 76]
 NS 353-2  6.107e+02  [-22 7.164e-02 1.777e-06 6.916e-07]  [55 -142 83]
 NS 353-3s 6.113e+02  [-36 1.419e-02 3.520e-07 9.803e-07]  [56 -138 84]
 NS 354-1  6.117e+02  [0 1.000e+00 2.159e-05 4.922e-07]  [53 -145 72]
 NS 354-2s 6.123e+02  [-28 3.873e-02 8.363e-07 3.605e-07]  [55 -148 83]
 NS 355-1  6.128e+02  [0 1.000e+00 1.645e-05 4.923e-07]  [53 -145 75]
 NS 355-2s 6.133e+02  [-32 2.268e-02 3.732e-07 5.149e-07]  [56 -145 82]
 NS 356-1  6.138e+02  [0 1.000e+00 1.157e-05 5.288e-07]  [53 -145 70]
 NS 356-2s 6.142e+02  [-34 1.804e-02 2.088e-07 9.259e-07]  [54 -139 78]
 NS 357-1  6.146e+02  [0 1.000e+00 7.714e-06 8.004e-07]  [53 -140 75]
 NS 357-2s 6.150e+02  [-35 1.732e-02 1.336e-07 9.340e-07]  [55 -139 78]
 NS 358-1  6.155e+02  [0 1.000e+00 4.949e-06 3.366e-07]  [53 -149 77]
 NS 358-2s 6.160e+02  [-36 1.549e-02 7.665e-08 8.662e-07]  [55 -140 76]
 NS 359-1  6.165e+02  [0 1.000e+00 3.086e-06 3.557e-07]  [53 -148 65]
 NS 359-2s 6.170e+02  [-38 1.257e-02 3.877e-08 4.489e-07]  [55 -146 71]
 NS 360-1  6.175e+02  [0 1.000e+00 1.882e-06 3.657e-07]  [53 -148 77]
 NS 360-2s 6.180e+02  [-39 1.065e-02 2.003e-08 2.281e-07]  [58 -153 83]
