hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 221-1  3.939e+02  [0 1.000e+00 6.878e-05 8.427e-07]  [60 -140 0]
 NS 221-2  3.950e+02  [-5 5.130e-01 3.528e-05 3.176e-07]  [54 -150 92]
 NS 221-3  3.961e+02  [-23 6.557e-02 4.510e-06 6.014e-07]  [58 -143 85]
 NS 221-4s 3.968e+02  [-42 7.857e-03 5.404e-07 5.408e-07]  [50 -144 77]
 NS 222-1  3.973e+02  [0 1.000e+00 9.286e-05 7.825e-07]  [54 -141 72]
 NS 222-2  3.978e+02  [-13 2.047e-01 1.901e-05 6.555e-07]  [57 -142 79]
 NS 222-3  3.988e+02  [-32 2.350e-02 2.182e-06 1.920e-07]  [62 -155 84]
 NS 222-4s 3.993e+02  [-49 3.244e-03 3.012e-07 6.668e-07]  [50 -142 71]
 NS 223-1  4.001e+02  [0 1.000e+00 1.090e-04 8.532e-07]  [51 -140 79]
 NS 223-2  4.007e+02  [-20 9.293e-02 1.013e-05 7.501e-07]  [61 -141 83]
 NS 223-3  4.014e+02  [-40 9.592e-03 1.046e-06 7.797e-07]  [69 -141 85]
 NS 223-4s 4.018e+02  [-56 1.545e-03 1.684e-07 6.407e-07]  [52 -143 77]
 NS 224-1  4.024e+02  [0 1.000e+00 9.598e-05 7.601e-07]  [50 -141 81]
 NS 224-2  4.033e+02  [-25 5.537e-02 5.314e-06 3.616e-07]  [60 -148 85]
 NS 224-3s 4.039e+02  [-45 5.150e-03 4.943e-07 6.427e-07]  [69 -143 80]
 NS 225-1  4.045e+02  [0 1.000e+00 7.342e-05 7.009e-07]  [50 -142 75]
 NS 225-2  4.050e+02  [-28 3.777e-02 2.773e-06 5.928e-07]  [57 -143 81]
 NS 225-3s 4.054e+02  [-49 3.300e-03 2.423e-07 4.488e-07]  [56 -146 74]
 NS 226-1  4.060e+02  [0 1.000e+00 5.176e-05 7.079e-07]  [50 -142 81]
 NS 226-2  4.066e+02  [-31 2.803e-02 1.451e-06 6.739e-07]  [53 -142 86]
 NS 226-3s 4.071e+02  [-51 2.556e-03 1.323e-07 6.861e-07]  [51 -142 73]
 NS 227-1  4.076e+02  [0 1.000e+00 3.458e-05 6.969e-07]  [50 -142 77]
 NS 227-2s 4.081e+02  [-33 2.164e-02 7.485e-07 8.055e-07]  [51 -140 82]
 NS 228-1  4.088e+02  [0 1.000e+00 2.224e-05 6.745e-07]  [50 -142 83]
 NS 228-2s 4.095e+02  [-35 1.730e-02 3.849e-07 9.477e-07]  [50 -139 84]
 NS 229-1  4.102e+02  [0 1.000e+00 1.391e-05 7.075e-07]  [50 -142 79]
 NS 229-2s 4.111e+02  [-36 1.509e-02 2.100e-07 1.981e-07]  [56 -154 87]
 NS 230-1  4.118e+02  [0 1.000e+00 8.514e-06 6.654e-07]  [50 -142 78]
 NS 230-2s 4.125e+02  [-35 1.617e-02 1.376e-07 4.979e-07]  [55 -145 83]
