hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 451-1  7.527e+02  [0 1.000e+00 1.426e-04 6.940e-07]  [56 -142 0]
 NS 451-2  7.532e+02  [-5 5.333e-01 7.604e-05 9.312e-07]  [50 -139 82]
 NS 451-3  7.538e+02  [-18 1.242e-01 1.771e-05 6.955e-07]  [50 -142 79]
 NS 451-4  7.542e+02  [-34 1.817e-02 2.591e-06 3.292e-07]  [50 -149 79]
 NS 451-5s 7.546e+02  [-51 2.653e-03 3.783e-07 7.472e-07]  [49 -141 78]
 NS 452-1  7.550e+02  [0 1.000e+00 1.129e-04 3.736e-07]  [58 -148 75]
 NS 452-2  7.556e+02  [-8 3.740e-01 4.221e-05 7.840e-07]  [51 -141 71]
 NS 452-3  7.560e+02  [-22 7.691e-02 8.682e-06 8.229e-07]  [50 -140 79]
 NS 452-4  7.563e+02  [-38 1.171e-02 1.321e-06 5.937e-07]  [50 -143 78]
 NS 452-5s 7.569e+02  [-54 1.854e-03 2.092e-07 6.330e-07]  [50 -143 83]
 NS 453-1  7.573e+02  [0 1.000e+00 1.121e-04 8.740e-07]  [56 -140 72]
 NS 453-2  7.577e+02  [-14 1.952e-01 2.188e-05 9.645e-07]  [48 -139 81]
 NS 453-3  7.581e+02  [-28 3.780e-02 4.237e-06 7.847e-07]  [51 -141 78]
 NS 453-4s 7.585e+02  [-44 6.019e-03 6.747e-07 7.836e-07]  [48 -141 76]
 NS 454-1  7.589e+02  [0 1.000e+00 9.473e-05 9.253e-07]  [56 -139 74]
 NS 454-2  7.593e+02  [-19 1.090e-01 1.032e-05 9.654e-07]  [48 -139 78]
 NS 454-3  7.598e+02  [-33 2.123e-02 2.011e-06 8.241e-07]  [50 -140 84]
 NS 454-4s 7.603e+02  [-49 3.531e-03 3.345e-07 9.675e-07]  [51 -138 79]
 NS 455-1  7.608e+02  [0 1.000e+00 7.141e-05 1.474e-07]  [58 -157 75]
 NS 455-2  7.611e+02  [-23 6.724e-02 4.801e-06 5.671e-07]  [50 -144 78]
 NS 455-3s 7.615e+02  [-37 1.340e-02 9.565e-07 4.359e-07]  [51 -146 77]
 NS 456-1  7.623e+02  [0 1.000e+00 4.985e-05 6.012e-07]  [56 -143 85]
 NS 456-2  7.627e+02  [-25 5.055e-02 2.520e-06 9.133e-07]  [49 -139 77]
 NS 456-3s 7.631e+02  [-39 1.002e-02 4.994e-07 9.498e-07]  [50 -139 78]
 NS 457-1  7.641e+02  [0 1.000e+00 3.304e-05 9.194e-07]  [56 -139 84]
 NS 457-2  7.645e+02  [-26 4.560e-02 1.506e-06 7.035e-07]  [52 -142 82]
 NS 457-3s 7.650e+02  [-40 8.969e-03 2.963e-07 3.392e-07]  [53 -149 75]
 NS 458-1  7.654e+02  [0 1.000e+00 2.111e-05 9.142e-07]  [56 -139 75]
 NS 458-2s 7.658e+02  [-27 4.343e-02 9.170e-07 4.777e-07]  [53 -146 79]
 NS 459-1  7.663e+02  [0 1.000e+00 1.314e-05 5.011e-07]  [56 -145 76]
 NS 459-2s 7.667e+02  [-27 4.281e-02 5.624e-07 3.220e-07]  [49 -149 78]
 NS 460-1  7.672e+02  [0 1.000e+00 8.022e-06 4.546e-07]  [56 -146 77]
 NS 460-2s 7.677e+02  [-27 4.208e-02 3.376e-07 4.259e-07]  [53 -147 81]
