hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 581-1  9.322e+02  [0 1.000e+00 8.493e-05 6.656e-07]  [55 -142 0]
 NS 581-2  9.327e+02  [-5 5.210e-01 4.425e-05 8.975e-08]  [57 -162 85]
 NS 581-3  9.331e+02  [-23 7.062e-02 5.998e-06 9.439e-07]  [52 -139 77]
 NS 581-4s 9.336e+02  [-40 9.583e-03 8.139e-07 7.857e-07]  [48 -141 81]
 NS 582-1  9.341e+02  [0 1.000e+00 1.899e-04 8.875e-07]  [51 -139 74]
 NS 582-2  9.346e+02  [-17 1.391e-01 2.641e-05 1.911e-07]  [56 -155 82]
 NS 582-3  9.350e+02  [-33 2.118e-02 4.022e-06 8.418e-07]  [51 -140 76]
 NS 582-4s 9.354e+02  [-50 3.048e-03 5.788e-07 3.896e-07]  [50 -148 77]
 NS 583-1  9.359e+02  [0 1.000e+00 2.274e-04 7.627e-07]  [52 -141 74]
 NS 583-2  9.363e+02  [-24 6.169e-02 1.403e-05 4.014e-07]  [54 -147 78]
 NS 583-3  9.368e+02  [-40 9.458e-03 2.151e-06 6.790e-07]  [52 -142 85]
 NS 583-4s 9.372e+02  [-56 1.559e-03 3.545e-07 4.683e-07]  [52 -146 77]
 NS 584-1  9.377e+02  [0 1.000e+00 2.003e-04 5.888e-07]  [53 -143 77]
 NS 584-2  9.381e+02  [-29 3.424e-02 6.859e-06 8.689e-07]  [54 -140 78]
 NS 584-3s 9.386e+02  [-46 4.848e-03 9.710e-07 4.224e-07]  [53 -147 78]
 NS 585-1  9.391e+02  [0 1.000e+00 1.535e-04 9.836e-07]  [52 -138 74]
 NS 585-2  9.395e+02  [-33 2.147e-02 3.294e-06 7.437e-07]  [54 -141 80]
 NS 585-3s 9.399e+02  [-51 2.609e-03 4.004e-07 6.745e-07]  [52 -142 79]
 NS 586-1  9.403e+02  [0 1.000e+00 1.084e-04 9.970e-07]  [51 -138 72]
 NS 586-2  9.407e+02  [-35 1.607e-02 1.743e-06 6.113e-07]  [54 -143 80]
 NS 586-3s 9.412e+02  [-53 2.061e-03 2.234e-07 2.271e-07]  [56 -153 81]
 NS 587-1  9.416e+02  [0 1.000e+00 7.253e-05 8.584e-07]  [52 -140 72]
 NS 587-2  9.420e+02  [-36 1.475e-02 1.070e-06 4.494e-07]  [53 -146 80]
 NS 587-3s 9.424e+02  [-52 2.259e-03 1.638e-07 9.611e-07]  [51 -139 77]
 NS 588-1  9.429e+02  [0 1.000e+00 4.666e-05 6.617e-07]  [52 -142 76]
 NS 588-2s 9.433e+02  [-35 1.592e-02 7.426e-07 8.436e-07]  [51 -140 80]
 NS 589-1  9.438e+02  [0 1.000e+00 2.913e-05 7.841e-07]  [51 -141 78]
 NS 589-2s 9.442e+02  [-35 1.766e-02 5.144e-07 4.359e-07]  [54 -146 78]
 NS 590-1  9.447e+02  [0 1.000e+00 1.778e-05 9.932e-07]  [51 -138 77]
 NS 590-2s 9.452e+02  [-34 1.788e-02 3.178e-07 8.160e-07]  [57 -140 79]
