hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 531-1  8.659e+02  [0 1.000e+00 2.143e-05 4.726e-07]  [55 -146 0]
 NS 531-2  8.664e+02  [-6 4.473e-01 9.583e-06 6.251e-07]  [51 -143 77]
 NS 531-3  8.667e+02  [-24 6.181e-02 1.324e-06 8.440e-07]  [53 -140 79]
 NS 531-4s 8.671e+02  [-42 7.435e-03 1.593e-07 4.244e-07]  [53 -147 78]
 NS 532-1  8.676e+02  [0 1.000e+00 1.839e-05 5.513e-07]  [53 -144 69]
 NS 532-2  8.681e+02  [-10 2.962e-01 5.448e-06 8.446e-07]  [50 -140 84]
 NS 532-3s 8.685e+02  [-29 3.333e-02 6.129e-07 4.328e-07]  [53 -147 79]
 NS 533-1  8.689e+02  [0 1.000e+00 2.022e-05 4.345e-07]  [53 -146 73]
 NS 533-2  8.695e+02  [-16 1.538e-01 3.110e-06 1.393e-07]  [55 -158 83]
 NS 533-3s 8.700e+02  [-36 1.552e-02 3.139e-07 7.460e-07]  [50 -141 84]
 NS 534-1  8.705e+02  [0 1.000e+00 1.773e-05 4.265e-07]  [53 -147 76]
 NS 534-2  8.709e+02  [-20 9.635e-02 1.708e-06 6.158e-07]  [52 -143 78]
 NS 534-3s 8.713e+02  [-40 9.414e-03 1.669e-07 3.085e-07]  [58 -150 81]
 NS 535-1  8.717e+02  [0 1.000e+00 1.358e-05 4.744e-07]  [53 -146 74]
 NS 535-2s 8.722e+02  [-23 6.434e-02 8.740e-07 6.731e-07]  [52 -142 80]
 NS 536-1  8.726e+02  [0 1.000e+00 9.593e-06 5.913e-07]  [53 -143 72]
 NS 536-2s 8.730e+02  [-27 4.262e-02 4.088e-07 5.570e-07]  [53 -144 77]
 NS 537-1  8.736e+02  [0 1.000e+00 6.428e-06 8.030e-07]  [53 -140 79]
 NS 537-2s 8.741e+02  [-31 2.774e-02 1.783e-07 5.425e-07]  [54 -144 72]
 NS 538-1  8.745e+02  [0 1.000e+00 4.156e-06 4.011e-07]  [53 -147 71]
 NS 538-2s 8.749e+02  [-32 2.319e-02 9.636e-08 9.562e-07]  [51 -139 77]
 NS 539-1  8.754e+02  [0 1.000e+00 2.614e-06 3.162e-07]  [53 -150 72]
 NS 539-2s 8.758e+02  [-31 2.774e-02 7.251e-08 7.005e-07]  [56 -142 79]
 NS 540-1  8.764e+02  [0 1.000e+00 1.605e-06 9.625e-07]  [55 -139 79]
 NS 540-2s 8.768e+02  [-29 3.368e-02 5.404e-08 9.973e-07]  [54 -138 79]
