hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 621-1  9.868e+02  [0 1.000e+00 1.516e-04 9.183e-07]  [68 -139 0]
 NS 621-2  9.873e+02  [-4 5.842e-01 8.855e-05 6.987e-07]  [53 -142 82]
 NS 621-3  9.876e+02  [-20 9.170e-02 1.390e-05 9.634e-07]  [53 -139 78]
 NS 621-4  9.880e+02  [-37 1.378e-02 2.088e-06 9.853e-07]  [54 -138 80]
 NS 621-5s 9.885e+02  [-51 2.686e-03 4.072e-07 5.026e-07]  [55 -145 83]
 NS 622-1  9.890e+02  [0 1.000e+00 2.535e-04 9.292e-07]  [57 -139 74]
 NS 622-2  9.894e+02  [-15 1.746e-01 4.425e-05 9.356e-07]  [52 -139 81]
 NS 622-3  9.898e+02  [-31 2.724e-02 6.904e-06 6.591e-07]  [53 -142 79]
 NS 622-4  9.902e+02  [-47 4.018e-03 1.018e-06 6.912e-07]  [55 -142 80]
 NS 622-5s 9.907e+02  [-61 8.247e-04 2.090e-07 9.446e-07]  [56 -139 82]
 NS 623-1  9.913e+02  [0 1.000e+00 3.027e-04 7.777e-07]  [57 -141 80]
 NS 623-2  9.917e+02  [-22 7.232e-02 2.189e-05 9.490e-07]  [52 -139 82]
 NS 623-3  9.921e+02  [-38 1.193e-02 3.612e-06 9.337e-07]  [53 -139 79]
 NS 623-4s 9.925e+02  [-54 1.882e-03 5.698e-07 9.597e-07]  [50 -139 77]
 NS 624-1  9.930e+02  [0 1.000e+00 2.682e-04 6.182e-07]  [57 -143 76]
 NS 624-2  9.935e+02  [-27 4.076e-02 1.093e-05 8.891e-07]  [52 -139 82]
 NS 624-3  9.939e+02  [-43 6.779e-03 1.818e-06 8.076e-07]  [53 -140 80]
 NS 624-4s 9.943e+02  [-58 1.241e-03 3.329e-07 8.082e-07]  [54 -140 79]
 NS 625-1  9.948e+02  [0 1.000e+00 2.064e-04 5.613e-07]  [57 -144 76]
 NS 625-2  9.953e+02  [-30 2.820e-02 5.822e-06 4.365e-07]  [54 -146 78]
 NS 625-3s 9.958e+02  [-47 4.286e-03 8.847e-07 5.982e-07]  [55 -143 74]
 NS 626-1  9.962e+02  [0 1.000e+00 1.460e-04 5.348e-07]  [57 -144 76]
 NS 626-2  9.966e+02  [-32 2.240e-02 3.272e-06 8.518e-07]  [51 -140 77]
 NS 626-3s 9.970e+02  [-50 3.066e-03 4.477e-07 7.155e-07]  [55 -142 78]
 NS 627-1  9.975e+02  [0 1.000e+00 9.774e-05 5.469e-07]  [57 -144 78]
 NS 627-2  9.980e+02  [-34 1.914e-02 1.871e-06 3.237e-07]  [53 -149 81]
 NS 627-3s 9.987e+02  [-51 2.734e-03 2.672e-07 6.496e-07]  [54 -142 69]
 NS 628-1  9.992e+02  [0 1.000e+00 6.285e-05 5.888e-07]  [57 -143 73]
 NS 628-2  9.997e+02  [-34 1.795e-02 1.128e-06 8.688e-07]  [52 -140 70]
 NS 628-3s 1.000e+03  [-50 2.856e-03 1.795e-07 9.489e-07]  [52 -139 71]
 NS 629-1  1.001e+03  [0 1.000e+00 3.926e-05 7.097e-07]  [57 -142 76]
 NS 629-2s 1.001e+03  [-34 1.832e-02 7.190e-07 3.954e-07]  [57 -147 79]
 NS 630-1  1.001e+03  [0 1.000e+00 2.398e-05 3.106e-07]  [59 -150 77]
 NS 630-2s 1.002e+03  [-34 1.957e-02 4.692e-07 4.362e-07]  [55 -146 75]
