hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 41-1  7.096e+01  [0 1.000e+00 1.676e-04 2.541e-07]  [63 -152 1]
 NS 41-2  7.136e+01  [-4 6.186e-01 1.037e-04 5.669e-07]  [54 -144 79]
 NS 41-3  7.188e+01  [-24 6.012e-02 1.008e-05 7.373e-07]  [58 -141 83]
 NS 41-4  7.246e+01  [-43 6.659e-03 1.116e-06 9.070e-07]  [52 -139 87]
 NS 41-5s 7.288e+01  [-62 7.850e-04 1.316e-07 8.441e-07]  [53 -140 74]
 NS 42-1  7.346e+01  [0 1.000e+00 5.531e-04 5.793e-07]  [54 -144 79]
 NS 42-2  7.395e+01  [-21 8.690e-02 4.806e-05 6.423e-07]  [50 -143 75]
 NS 42-3  7.479e+01  [-41 8.474e-03 4.686e-06 3.247e-07]  [58 -149 91]
 NS 42-4s 7.531e+01  [-59 1.019e-03 5.638e-07 6.957e-07]  [56 -142 78]
 NS 43-1  7.611e+01  [0 1.000e+00 6.406e-04 4.489e-07]  [54 -146 63]
 NS 43-2  7.651e+01  [-29 3.256e-02 2.086e-05 9.490e-07]  [52 -139 80]
 NS 43-3  7.697e+01  [-49 3.262e-03 2.089e-06 3.502e-07]  [58 -149 79]
 NS 43-4s 7.746e+01  [-67 4.122e-04 2.641e-07 6.620e-07]  [55 -142 78]
 NS 44-1  7.805e+01  [0 1.000e+00 5.577e-04 4.274e-07]  [54 -147 79]
 NS 44-2  7.850e+01  [-35 1.586e-02 8.849e-06 4.617e-07]  [58 -146 81]
 NS 44-3s 7.900e+01  [-55 1.757e-03 9.800e-07 2.847e-07]  [58 -151 81]
 NS 45-1  7.944e+01  [0 1.000e+00 4.240e-04 4.496e-07]  [54 -146 74]
 NS 45-2  7.982e+01  [-40 9.866e-03 4.183e-06 9.310e-07]  [50 -139 78]
 NS 45-3s 8.022e+01  [-58 1.200e-03 5.087e-07 7.222e-07]  [56 -141 79]
 NS 46-1  8.068e+01  [0 1.000e+00 2.980e-04 4.332e-07]  [54 -147 73]
 NS 46-2  8.112e+01  [-41 8.061e-03 2.402e-06 9.188e-07]  [51 -139 82]
 NS 46-3s 8.158e+01  [-60 9.261e-04 2.760e-07 5.485e-07]  [61 -144 80]
 NS 47-1  8.208e+01  [0 1.000e+00 1.986e-04 4.570e-07]  [54 -146 78]
 NS 47-2  8.257e+01  [-42 7.326e-03 1.455e-06 5.446e-07]  [56 -144 84]
 NS 47-3s 8.306e+01  [-62 7.287e-04 1.447e-07 8.782e-07]  [56 -139 82]
 NS 48-1  8.352e+01  [0 1.000e+00 1.275e-04 4.620e-07]  [54 -146 73]
 NS 48-2s 8.392e+01  [-43 6.509e-03 8.298e-07 3.108e-07]  [54 -150 77]
 NS 49-1  8.435e+01  [0 1.000e+00 7.953e-05 4.602e-07]  [54 -146 73]
 NS 49-2s 8.475e+01  [-44 5.634e-03 4.481e-07 9.263e-07]  [52 -139 79]
 NS 50-1  8.524e+01  [0 1.000e+00 4.851e-05 4.566e-07]  [54 -146 76]
 NS 50-2s 8.567e+01  [-46 4.743e-03 2.301e-07 8.844e-07]  [56 -139 80]
