hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 521-1  8.538e+02  [0 1.000e+00 3.780e-05 7.238e-07]  [52 -141 0]
 NS 521-2  8.542e+02  [-6 4.759e-01 1.799e-05 2.494e-07]  [54 -152 73]
 NS 521-3  8.547e+02  [-22 7.375e-02 2.788e-06 4.062e-07]  [57 -147 80]
 NS 521-4s 8.552e+02  [-40 9.963e-03 3.767e-07 3.221e-07]  [53 -149 84]
 NS 522-1  8.557e+02  [0 1.000e+00 5.250e-05 6.949e-07]  [54 -142 70]
 NS 522-2  8.561e+02  [-13 2.050e-01 1.076e-05 4.895e-07]  [55 -145 83]
 NS 522-3  8.565e+02  [-30 3.031e-02 1.591e-06 9.917e-07]  [51 -138 77]
 NS 522-4s 8.569e+02  [-47 4.193e-03 2.201e-07 7.181e-07]  [49 -141 77]
 NS 523-1  8.574e+02  [0 1.000e+00 5.788e-05 6.042e-07]  [56 -143 73]
 NS 523-2  8.579e+02  [-19 1.046e-01 6.053e-06 6.197e-07]  [59 -143 73]
 NS 523-3s 8.583e+02  [-36 1.510e-02 8.740e-07 7.909e-07]  [51 -141 79]
 NS 524-1  8.587e+02  [0 1.000e+00 4.979e-05 5.907e-07]  [56 -143 75]
 NS 524-2  8.592e+02  [-23 6.377e-02 3.175e-06 6.655e-07]  [57 -142 81]
 NS 524-3s 8.596e+02  [-41 8.748e-03 4.356e-07 5.515e-07]  [52 -144 76]
 NS 525-1  8.600e+02  [0 1.000e+00 3.778e-05 9.396e-07]  [50 -139 74]
 NS 525-2  8.604e+02  [-27 4.119e-02 1.556e-06 8.551e-07]  [51 -140 80]
 NS 525-3s 8.608e+02  [-45 5.192e-03 1.961e-07 9.066e-07]  [52 -139 79]
 NS 526-1  8.613e+02  [0 1.000e+00 2.653e-05 9.486e-07]  [50 -139 77]
 NS 526-2s 8.617e+02  [-31 2.684e-02 7.121e-07 6.897e-07]  [48 -142 76]
 NS 527-1  8.622e+02  [0 1.000e+00 1.769e-05 2.128e-07]  [56 -154 75]
 NS 527-2s 8.626e+02  [-34 1.946e-02 3.442e-07 7.524e-07]  [49 -141 74]
 NS 528-1  8.630e+02  [0 1.000e+00 1.136e-05 1.617e-07]  [56 -156 76]
 NS 528-2s 8.634e+02  [-34 1.883e-02 2.139e-07 4.591e-07]  [53 -146 78]
 NS 529-1  8.639e+02  [0 1.000e+00 7.097e-06 9.447e-07]  [53 -139 68]
 NS 529-2s 8.644e+02  [-33 2.117e-02 1.503e-07 6.290e-07]  [59 -143 73]
 NS 530-1  8.648e+02  [0 1.000e+00 4.335e-06 8.620e-07]  [53 -140 74]
 NS 530-2s 8.652e+02  [-32 2.305e-02 9.990e-08 8.193e-07]  [56 -140 80]
