hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 611-1  9.672e+02  [0 1.000e+00 5.283e-04 6.387e-07]  [59 -143 0]
 NS 611-2  9.677e+02  [-5 5.113e-01 2.701e-04 9.491e-07]  [54 -139 78]
 NS 611-3  9.681e+02  [-18 1.229e-01 6.495e-05 6.761e-07]  [52 -142 78]
 NS 611-4  9.685e+02  [-33 2.040e-02 1.078e-05 9.326e-07]  [51 -139 80]
 NS 611-5  9.689e+02  [-48 3.556e-03 1.879e-06 9.332e-07]  [51 -139 77]
 NS 611-6s 9.693e+02  [-62 7.890e-04 4.168e-07 5.419e-07]  [57 -144 79]
 NS 612-1  9.698e+02  [0 1.000e+00 5.680e-04 7.322e-07]  [59 -141 79]
 NS 612-2  9.703e+02  [-11 2.722e-01 1.546e-04 2.956e-07]  [57 -150 83]
 NS 612-3  9.707e+02  [-24 5.651e-02 3.210e-05 3.745e-07]  [53 -148 79]
 NS 612-4  9.711e+02  [-39 1.030e-02 5.850e-06 8.927e-07]  [51 -139 79]
 NS 612-5  9.716e+02  [-54 1.883e-03 1.070e-06 8.178e-07]  [51 -140 69]
 NS 612-6s 9.720e+02  [-67 4.047e-04 2.298e-07 8.534e-07]  [52 -140 77]
 NS 613-1  9.725e+02  [0 1.000e+00 6.021e-04 9.762e-07]  [58 -138 76]
 NS 613-2  9.729e+02  [-17 1.399e-01 8.426e-05 4.961e-07]  [55 -145 80]
 NS 613-3  9.733e+02  [-32 2.469e-02 1.487e-05 3.648e-07]  [53 -148 80]
 NS 613-4  9.738e+02  [-46 4.948e-03 2.979e-06 6.935e-07]  [54 -142 82]
 NS 613-5s 9.743e+02  [-60 9.196e-04 5.537e-07 4.589e-07]  [53 -146 80]
 NS 614-1  9.747e+02  [0 1.000e+00 5.181e-04 8.735e-07]  [57 -140 72]
 NS 614-2  9.751e+02  [-21 8.649e-02 4.481e-05 8.702e-07]  [53 -140 79]
 NS 614-3  9.756e+02  [-37 1.401e-02 7.259e-06 4.328e-07]  [54 -147 81]
 NS 614-4  9.761e+02  [-50 3.130e-03 1.621e-06 9.280e-07]  [51 -139 85]
 NS 614-5s 9.765e+02  [-64 5.781e-04 2.995e-07 9.849e-07]  [51 -138 76]
 NS 615-1  9.770e+02  [0 1.000e+00 3.932e-04 8.043e-07]  [57 -140 75]
 NS 615-2  9.774e+02  [-24 6.069e-02 2.386e-05 7.477e-07]  [53 -141 80]
 NS 615-3  9.778e+02  [-40 9.594e-03 3.772e-06 3.314e-07]  [55 -149 80]
 NS 615-4s 9.783e+02  [-53 2.198e-03 8.643e-07 9.849e-07]  [56 -138 83]
 NS 616-1  9.789e+02  [0 1.000e+00 2.758e-04 7.585e-07]  [57 -141 79]
 NS 616-2  9.793e+02  [-26 4.636e-02 1.279e-05 8.773e-07]  [52 -139 78]
 NS 616-3  9.798e+02  [-42 7.660e-03 2.113e-06 2.964e-07]  [55 -150 79]
 NS 616-4s 9.802e+02  [-55 1.727e-03 4.763e-07 5.858e-07]  [54 -144 78]
 NS 617-1  9.807e+02  [0 1.000e+00 1.833e-04 7.459e-07]  [57 -141 78]
 NS 617-2  9.811e+02  [-28 3.762e-02 6.894e-06 9.235e-07]  [53 -139 79]
 NS 617-3  9.815e+02  [-43 6.666e-03 1.222e-06 9.649e-07]  [53 -139 80]
 NS 617-4s 9.819e+02  [-57 1.375e-03 2.520e-07 5.916e-07]  [55 -143 78]
 NS 618-1  9.825e+02  [0 1.000e+00 1.174e-04 7.315e-07]  [57 -141 82]
 NS 618-2  9.830e+02  [-29 3.240e-02 3.804e-06 5.642e-07]  [60 -144 84]
 NS 618-3s 9.835e+02  [-44 6.110e-03 7.174e-07 8.308e-07]  [53 -140 78]
 NS 619-1  9.839e+02  [0 1.000e+00 7.314e-05 7.947e-07]  [57 -140 74]
 NS 619-2  9.843e+02  [-30 3.043e-02 2.226e-06 9.764e-07]  [53 -138 79]
 NS 619-3s 9.848e+02  [-45 5.574e-03 4.077e-07 5.305e-07]  [53 -144 81]
 NS 620-1  9.852e+02  [0 1.000e+00 4.464e-05 8.039e-07]  [57 -140 75]
 NS 620-2  9.856e+02  [-29 3.203e-02 1.430e-06 7.630e-07]  [54 -141 81]
 NS 620-3s 9.860e+02  [-45 5.351e-03 2.389e-07 3.132e-07]  [55 -150 79]
