time_step,max_wss_gradient,tau_tau_o_ratio
0,0.0014152957249033494,3239985008126.3037
0,0.0014461293472872627,3272421691202.7666
0,0.0014575372170774568,3279383129717.7383
1,0.001457895150829696,3279444788560.3135
1,0.0014686658885561927,3230242773680.513
1,0.0014691069088995593,3224727565452.2393
1,0.0014685508867626834,3229892424743.079
1,0.0014696593389393552,3228284175390.869
1,0.0014708055009624913,3227422207381.587
1,0.001458454238796375,3213715121285.2773
1,0.001480770873757117,3237972142742.7583
1,0.0014597961764589997,3222851985481.649
1,0.001485073468622672,3226346099345.6304
1,0.0014636801783521238,3221457617943.05
1,0.0014744779556716979,3223261212028.0063
2,0.0014432140078180814,3178229424644.214
2,0.0015258638073810341,3146525969378.9414
2,0.0014741758526899042,3180137865099.46
2,0.0014799719938505304,3165746570808.3955
2,0.0014892461880167168,3160186273062.243
3,0.001510814292431425,3094647508282.3228
3,0.0015178811755667632,3075158830223.5728
3,0.0015089326435865523,3083143412139.665
3,0.0015035714473101071,3086734168070.6475
3,0.0015040238163315863,3087424851140.345
3,0.0015038486805665624,3088995146238.3184
4,0.0015398953837497276,2990428888551.7354
4,0.0015147386949604482,3015650170440.371
4,0.0015203072532383793,3000143366828.1904
4,0.0015179415865938608,3005083009447.624
4,0.0015228193382052088,3008758040027.1406
5,0.0014787467664560223,2902527803377.0947
5,0.0015389454421642777,2928717260333.555
5,0.0015306363728418526,2925927167661.4062
5,0.0015347321155773951,2929208079831.768
5,0.0015334444106297534,2927500736226.1978
5,0.0015318521659347297,2925776332607.212
6,0.0016014971344095533,2829149657941.0312
6,0.0015515187825893872,2848118570380.747
6,0.001528547177722056,2834510172774.6846
6,0.0015368468192861657,2835004906081.8276
6,0.0015417637407898845,2836768420756.1323
6,0.0015403114248638391,2838489130634.4307
7,0.0015784862338573248,2718703973757.8647
7,0.001558887472245433,2756242222493.4697
7,0.0015641530434048223,2760887730863.587
7,0.0015521043297259576,2760128221056.2944
7,0.001548204891263195,2755405115242.945
7,0.0015494741749599633,2755990453914.349
8,0.0017769164495203872,2653552191894.6562
8,0.001739819176349618,2659266185726.259
8,0.0017677298351595114,2671140262765.538
8,0.001792119132851104,2674588168908.9355
8,0.001787963778787068,2673697357006.162
8,0.0017913671441592005,2674160592094.4873
8,0.001794816278861279,2677666851000.4517
9,0.0020818821106437717,2589765807434.1426
9,0.002112271215903327,2632299157176.18
9,0.0020753208616803636,2612215783031.777
9,0.0020805210905021692,2611266996146.911
9,0.002081166394321961,2610900351748.0786
10,0.00234140598281405,2532463569165.3135
10,0.002284283350897078,2546079929476.776
10,0.0023088971586095767,2550164699865.3945
10,0.002318161136544134,2553566502422.818
10,0.0023225842101243536,2553667660683.0024
