hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 71-1  9.868e+01  [0 1.000e+00 4.046e-05 1.264e-07]  [47 -159 0]
 NS 71-2  9.912e+01  [-1 8.435e-01 3.412e-05 9.921e-07]  [38 -138 69]
 NS 71-3  9.958e+01  [-16 1.467e-01 5.936e-06 3.391e-07]  [40 -149 68]
 NS 71-4s 1.000e+02  [-34 1.888e-02 7.638e-07 9.116e-07]  [38 -139 67]
 NS 72-1  1.005e+02  [0 1.000e+00 3.434e-05 4.413e-07]  [40 -146 66]
 NS 72-2  1.010e+02  [-6 4.650e-01 1.597e-05 2.048e-07]  [41 -154 72]
 NS 72-3  1.014e+02  [-21 8.406e-02 2.887e-06 7.934e-07]  [39 -140 71]
 NS 72-4s 1.019e+02  [-38 1.134e-02 3.895e-07 9.185e-07]  [39 -139 70]
 NS 73-1  1.024e+02  [0 1.000e+00 3.661e-05 7.740e-07]  [38 -141 65]
 NS 73-2  1.028e+02  [-14 1.921e-01 7.033e-06 9.825e-07]  [42 -138 73]
 NS 73-3  1.033e+02  [-28 3.611e-02 1.322e-06 3.672e-07]  [40 -148 71]
 NS 73-4s 1.038e+02  [-45 5.046e-03 1.848e-07 4.179e-07]  [42 -147 72]
 NS 74-1  1.042e+02  [0 1.000e+00 3.111e-05 4.993e-07]  [39 -145 66]
 NS 74-2  1.047e+02  [-19 1.100e-01 3.421e-06 8.128e-07]  [41 -140 72]
 NS 74-3s 1.052e+02  [-33 2.013e-02 6.262e-07 4.723e-07]  [39 -146 70]
 NS 75-1  1.056e+02  [0 1.000e+00 2.348e-05 4.785e-07]  [39 -146 66]
 NS 75-2  1.061e+02  [-21 8.172e-02 1.919e-06 9.504e-07]  [39 -139 71]
 NS 75-3s 1.065e+02  [-37 1.408e-02 3.306e-07 5.012e-07]  [40 -145 71]
 NS 76-1  1.070e+02  [0 1.000e+00 1.645e-05 4.516e-07]  [39 -146 66]
 NS 76-2  1.075e+02  [-23 6.406e-02 1.054e-06 3.177e-07]  [36 -150 70]
 NS 76-3s 1.079e+02  [-39 1.103e-02 1.816e-07 3.715e-07]  [30 -148 64]
 NS 77-1  1.083e+02  [0 1.000e+00 1.097e-05 3.888e-07]  [39 -148 66]
 NS 77-2s 1.088e+02  [-26 4.930e-02 5.406e-07 9.452e-07]  [35 -139 68]
 NS 78-1  1.092e+02  [0 1.000e+00 7.045e-06 5.402e-07]  [39 -144 66]
 NS 78-2s 1.097e+02  [-28 3.922e-02 2.763e-07 9.155e-07]  [38 -139 69]
 NS 79-1  1.102e+02  [0 1.000e+00 4.395e-06 3.856e-07]  [39 -148 66]
 NS 79-2s 1.106e+02  [-29 3.501e-02 1.538e-07 2.538e-07]  [41 -152 68]
 NS 80-1  1.111e+02  [0 1.000e+00 2.681e-06 5.807e-07]  [39 -144 65]
 NS 80-2s 1.116e+02  [-30 3.139e-02 8.414e-08 3.374e-07]  [41 -149 71]
