hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 381-1  5.481e+02  [0 1.000e+00 2.823e-04 7.491e-07]  [42 -141 0]
 NS 381-2  5.485e+02  [-5 5.085e-01 1.436e-04 5.421e-07]  [38 -144 70]
 NS 381-3  5.490e+02  [-19 1.075e-01 3.036e-05 5.332e-07]  [42 -144 73]
 NS 381-4  5.494e+02  [-35 1.660e-02 4.686e-06 6.217e-07]  [36 -143 70]
 NS 381-5s 5.499e+02  [-51 2.629e-03 7.423e-07 2.832e-07]  [38 -151 70]
 NS 382-1  5.504e+02  [0 1.000e+00 2.720e-04 6.852e-07]  [42 -142 67]
 NS 382-2  5.508e+02  [-10 2.907e-01 7.906e-05 4.456e-07]  [40 -146 72]
 NS 382-3  5.513e+02  [-24 5.844e-02 1.589e-05 7.045e-07]  [40 -142 72]
 NS 382-4  5.517e+02  [-40 9.197e-03 2.501e-06 1.996e-07]  [38 -154 71]
 NS 382-5s 5.522e+02  [-56 1.524e-03 4.144e-07 4.603e-07]  [36 -146 68]
 NS 383-1  5.527e+02  [0 1.000e+00 2.974e-04 3.455e-07]  [43 -149 68]
 NS 383-2  5.531e+02  [-17 1.394e-01 4.147e-05 8.145e-07]  [37 -140 71]
 NS 383-3  5.536e+02  [-31 2.730e-02 8.119e-06 8.304e-07]  [39 -140 71]
 NS 383-4  5.540e+02  [-47 4.393e-03 1.307e-06 2.880e-07]  [37 -151 70]
 NS 383-5s 5.544e+02  [-62 7.681e-04 2.285e-07 9.786e-07]  [36 -138 69]
 NS 384-1  5.549e+02  [0 1.000e+00 2.602e-04 9.448e-07]  [42 -139 68]
 NS 384-2  5.554e+02  [-22 7.695e-02 2.002e-05 5.219e-07]  [38 -145 71]
 NS 384-3  5.558e+02  [-36 1.489e-02 3.875e-06 8.554e-07]  [39 -140 71]
 NS 384-4s 5.563e+02  [-52 2.501e-03 6.508e-07 3.211e-07]  [37 -150 69]
 NS 385-1  5.568e+02  [0 1.000e+00 1.996e-04 9.907e-07]  [42 -138 68]
 NS 385-2  5.572e+02  [-27 4.457e-02 8.894e-06 7.748e-07]  [36 -141 70]
 NS 385-3  5.576e+02  [-41 8.866e-03 1.769e-06 7.733e-07]  [37 -141 70]
 NS 385-4s 5.581e+02  [-56 1.550e-03 3.093e-07 8.288e-07]  [35 -140 68]
 NS 386-1  5.586e+02  [0 1.000e+00 1.408e-04 1.433e-07]  [44 -158 69]
 NS 386-2  5.590e+02  [-30 2.932e-02 4.126e-06 4.461e-07]  [40 -146 72]
 NS 386-3s 5.595e+02  [-44 6.060e-03 8.530e-07 9.230e-07]  [37 -139 69]
 NS 387-1  5.600e+02  [0 1.000e+00 9.375e-05 3.337e-07]  [44 -149 69]
 NS 387-2  5.605e+02  [-31 2.678e-02 2.510e-06 8.262e-07]  [38 -140 71]
 NS 387-3s 5.609e+02  [-45 5.204e-03 4.879e-07 7.390e-07]  [40 -141 71]
 NS 388-1  5.614e+02  [0 1.000e+00 5.994e-05 2.564e-07]  [44 -152 68]
 NS 388-2  5.619e+02  [-30 2.882e-02 1.727e-06 6.828e-07]  [38 -142 71]
 NS 388-3s 5.623e+02  [-45 5.123e-03 3.071e-07 4.079e-07]  [36 -147 69]
 NS 389-1  5.628e+02  [0 1.000e+00 3.726e-05 4.571e-07]  [43 -146 68]
 NS 389-2  5.633e+02  [-30 2.983e-02 1.112e-06 5.752e-07]  [38 -144 71]
 NS 389-3s 5.637e+02  [-46 4.995e-03 1.861e-07 3.293e-07]  [38 -149 70]
 NS 390-1  5.642e+02  [0 1.000e+00 2.271e-05 3.025e-07]  [43 -150 68]
 NS 390-2s 5.647e+02  [-30 2.865e-02 6.507e-07 8.974e-07]  [36 -139 68]
