hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 571-1  8.284e+02  [0 1.000e+00 1.596e-04 4.802e-07]  [42 -145 0]
 NS 571-2  8.289e+02  [-5 5.242e-01 8.367e-05 7.071e-07]  [41 -142 71]
 NS 571-3  8.294e+02  [-19 1.019e-01 1.626e-05 6.128e-07]  [42 -143 73]
 NS 571-4  8.298e+02  [-35 1.737e-02 2.772e-06 6.834e-07]  [37 -142 71]
 NS 571-5s 8.303e+02  [-49 3.226e-03 5.149e-07 6.872e-07]  [44 -142 70]
 NS 572-1  8.308e+02  [0 1.000e+00 3.099e-04 3.301e-07]  [40 -149 66]
 NS 572-2  8.313e+02  [-17 1.384e-01 4.290e-05 4.466e-07]  [42 -146 73]
 NS 572-3  8.317e+02  [-31 2.581e-02 7.997e-06 6.998e-07]  [40 -142 72]
 NS 572-4  8.322e+02  [-47 4.329e-03 1.342e-06 6.943e-07]  [40 -142 71]
 NS 572-5s 8.327e+02  [-61 8.637e-04 2.676e-07 3.081e-07]  [47 -150 73]
 NS 573-1  8.332e+02  [0 1.000e+00 3.599e-04 3.808e-07]  [40 -148 66]
 NS 573-2  8.336e+02  [-24 6.265e-02 2.255e-05 6.047e-07]  [41 -143 72]
 NS 573-3  8.341e+02  [-39 1.094e-02 3.938e-06 3.166e-07]  [42 -150 73]
 NS 573-4s 8.346e+02  [-54 1.911e-03 6.876e-07 3.881e-07]  [41 -148 71]
 NS 574-1  8.350e+02  [0 1.000e+00 3.138e-04 3.907e-07]  [40 -148 66]
 NS 574-2  8.355e+02  [-28 3.789e-02 1.189e-05 7.033e-07]  [41 -142 72]
 NS 574-3  8.359e+02  [-44 5.957e-03 1.870e-06 8.318e-07]  [38 -140 70]
 NS 574-4s 8.364e+02  [-59 1.121e-03 3.518e-07 3.530e-07]  [41 -149 71]
 NS 575-1  8.369e+02  [0 1.000e+00 2.392e-04 9.788e-07]  [40 -138 68]
 NS 575-2  8.374e+02  [-31 2.627e-02 6.283e-06 5.407e-07]  [43 -144 74]
 NS 575-3s 8.379e+02  [-48 3.890e-03 9.305e-07 9.034e-07]  [40 -139 71]
 NS 576-1  8.384e+02  [0 1.000e+00 1.682e-04 4.065e-07]  [40 -147 67]
 NS 576-2  8.389e+02  [-33 2.005e-02 3.373e-06 8.384e-07]  [41 -140 72]
 NS 576-3s 8.393e+02  [-49 3.276e-03 5.509e-07 6.127e-07]  [41 -143 72]
 NS 577-1  8.398e+02  [0 1.000e+00 1.122e-04 6.268e-07]  [39 -143 66]
 NS 577-2  8.403e+02  [-35 1.756e-02 1.969e-06 7.267e-07]  [40 -141 72]
 NS 577-3s 8.409e+02  [-49 3.236e-03 3.630e-07 8.610e-07]  [51 -140 75]
 NS 578-1  8.413e+02  [0 1.000e+00 7.201e-05 9.999e-07]  [38 -138 65]
 NS 578-2  8.418e+02  [-35 1.751e-02 1.261e-06 5.647e-07]  [39 -144 71]
 NS 578-3s 8.423e+02  [-49 3.178e-03 2.288e-07 1.312e-07]  [46 -158 72]
 NS 579-1  8.428e+02  [0 1.000e+00 4.491e-05 8.660e-07]  [38 -140 66]
 NS 579-2s 8.432e+02  [-35 1.767e-02 7.934e-07 5.732e-07]  [39 -144 70]
 NS 580-1  8.437e+02  [0 1.000e+00 2.738e-05 8.469e-07]  [39 -140 66]
 NS 580-2s 8.442e+02  [-35 1.755e-02 4.806e-07 8.150e-07]  [40 -140 72]
