hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 271-1  3.889e+02  [0 1.000e+00 1.997e-04 6.429e-07]  [40 -143 0]
 NS 271-2  3.894e+02  [-4 6.191e-01 1.236e-04 4.168e-07]  [44 -147 72]
 NS 271-3  3.898e+02  [-17 1.378e-01 2.752e-05 7.544e-07]  [36 -141 69]
 NS 271-4  3.902e+02  [-34 1.815e-02 3.624e-06 4.632e-07]  [35 -146 69]
 NS 271-5s 3.906e+02  [-53 2.081e-03 4.155e-07 7.580e-07]  [36 -141 68]
 NS 272-1  3.911e+02  [0 1.000e+00 3.103e-04 9.434e-07]  [38 -139 65]
 NS 272-2  3.916e+02  [-13 2.179e-01 6.760e-05 6.192e-07]  [40 -143 72]
 NS 272-3  3.920e+02  [-26 4.774e-02 1.481e-05 7.223e-07]  [37 -141 70]
 NS 272-4  3.924e+02  [-43 6.379e-03 1.979e-06 4.928e-07]  [34 -145 69]
 NS 272-5s 3.928e+02  [-62 7.839e-04 2.433e-07 5.895e-07]  [36 -143 68]
 NS 273-1  3.933e+02  [0 1.000e+00 3.623e-04 9.291e-07]  [37 -139 65]
 NS 273-2  3.938e+02  [-20 9.277e-02 3.361e-05 5.172e-07]  [40 -145 72]
 NS 273-3  3.942e+02  [-33 2.018e-02 7.310e-06 9.007e-07]  [37 -139 70]
 NS 273-4  3.946e+02  [-51 2.791e-03 1.011e-06 4.934e-07]  [34 -145 69]
 NS 273-5s 3.950e+02  [-68 3.691e-04 1.337e-07 9.584e-07]  [33 -139 67]
 NS 274-1  3.955e+02  [0 1.000e+00 3.170e-04 9.442e-07]  [37 -139 65]
 NS 274-2  3.959e+02  [-26 4.851e-02 1.538e-05 8.743e-07]  [41 -139 72]
 NS 274-3  3.963e+02  [-39 1.052e-02 3.334e-06 6.426e-07]  [37 -143 70]
 NS 274-4s 3.968e+02  [-56 1.537e-03 4.871e-07 2.905e-07]  [37 -151 69]
 NS 275-1  3.972e+02  [0 1.000e+00 2.423e-04 8.992e-07]  [37 -139 65]
 NS 275-2  3.977e+02  [-30 2.966e-02 7.186e-06 6.539e-07]  [40 -142 72]
 NS 275-3  3.981e+02  [-43 6.354e-03 1.539e-06 1.618e-07]  [38 -156 71]
 NS 275-4s 3.986e+02  [-60 9.569e-04 2.318e-07 9.377e-07]  [35 -139 68]
 NS 276-1  3.990e+02  [0 1.000e+00 1.707e-04 8.995e-07]  [37 -139 65]
 NS 276-2  3.995e+02  [-32 2.297e-02 3.920e-06 6.177e-07]  [39 -143 71]
 NS 276-3s 3.999e+02  [-46 4.814e-03 8.217e-07 1.987e-07]  [38 -154 70]
 NS 277-1  4.004e+02  [0 1.000e+00 1.139e-04 9.353e-07]  [37 -139 65]
 NS 277-2  4.008e+02  [-33 2.093e-02 2.385e-06 7.960e-07]  [40 -140 72]
 NS 277-3s 4.013e+02  [-47 4.299e-03 4.899e-07 8.562e-07]  [40 -140 70]
 NS 278-1  4.017e+02  [0 1.000e+00 7.315e-05 7.999e-07]  [37 -140 65]
 NS 278-2  4.022e+02  [-34 1.943e-02 1.422e-06 8.387e-07]  [39 -140 71]
 NS 278-3s 4.026e+02  [-48 3.890e-03 2.845e-07 7.319e-07]  [36 -141 68]
 NS 279-1  4.031e+02  [0 1.000e+00 4.564e-05 8.350e-07]  [37 -140 65]
 NS 279-2s 4.035e+02  [-34 1.848e-02 8.433e-07 8.298e-07]  [40 -140 71]
 NS 280-1  4.040e+02  [0 1.000e+00 2.787e-05 8.079e-07]  [37 -140 65]
 NS 280-2s 4.045e+02  [-35 1.707e-02 4.757e-07 8.382e-07]  [43 -140 72]
