hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 331-1  4.783e+02  [0 1.000e+00 6.757e-05 6.933e-07]  [38 -142 0]
 NS 331-2  4.788e+02  [-4 5.991e-01 4.048e-05 6.873e-07]  [37 -142 70]
 NS 331-3  4.792e+02  [-18 1.209e-01 8.167e-06 2.485e-07]  [39 -152 72]
 NS 331-4  4.796e+02  [-35 1.631e-02 1.102e-06 9.117e-07]  [35 -139 69]
 NS 331-5s 4.801e+02  [-53 2.172e-03 1.467e-07 9.093e-07]  [36 -139 69]
 NS 332-1  4.806e+02  [0 1.000e+00 6.311e-05 3.125e-07]  [40 -150 66]
 NS 332-2  4.810e+02  [-9 3.459e-01 2.183e-05 6.742e-07]  [38 -142 71]
 NS 332-3  4.815e+02  [-23 6.917e-02 4.365e-06 5.293e-07]  [39 -145 71]
 NS 332-4s 4.819e+02  [-40 9.352e-03 5.902e-07 4.345e-07]  [38 -146 70]
 NS 333-1  4.824e+02  [0 1.000e+00 7.553e-05 3.563e-07]  [39 -148 67]
 NS 333-2  4.829e+02  [-16 1.463e-01 1.105e-05 2.551e-07]  [39 -152 72]
 NS 333-3  4.833e+02  [-30 2.915e-02 2.201e-06 6.697e-07]  [39 -142 71]
 NS 333-4s 4.838e+02  [-47 4.022e-03 3.038e-07 9.497e-07]  [35 -139 68]
 NS 334-1  4.843e+02  [0 1.000e+00 6.753e-05 4.528e-07]  [40 -146 67]
 NS 334-2  4.847e+02  [-22 7.866e-02 5.312e-06 3.364e-07]  [40 -149 72]
 NS 334-3  4.852e+02  [-36 1.548e-02 1.045e-06 1.862e-07]  [42 -155 72]
 NS 334-4s 4.856e+02  [-53 2.222e-03 1.501e-07 8.175e-07]  [36 -140 68]
 NS 335-1  4.861e+02  [0 1.000e+00 5.224e-05 7.911e-07]  [39 -140 65]
 NS 335-2  4.866e+02  [-26 4.835e-02 2.526e-06 8.069e-07]  [38 -140 71]
 NS 335-3s 4.870e+02  [-40 9.319e-03 4.868e-07 2.287e-07]  [39 -153 71]
 NS 336-1  4.876e+02  [0 1.000e+00 3.710e-05 6.963e-07]  [40 -142 67]
 NS 336-2  4.880e+02  [-29 3.399e-02 1.261e-06 5.586e-07]  [40 -144 72]
 NS 336-3s 4.885e+02  [-43 6.438e-03 2.388e-07 7.565e-07]  [41 -141 71]
 NS 337-1  4.890e+02  [0 1.000e+00 2.488e-05 6.621e-07]  [41 -142 67]
 NS 337-2s 4.894e+02  [-30 2.843e-02 7.073e-07 6.937e-07]  [39 -142 70]
 NS 338-1  4.900e+02  [0 1.000e+00 1.602e-05 4.718e-07]  [40 -146 67]
 NS 338-2s 4.904e+02  [-31 2.668e-02 4.275e-07 1.910e-07]  [40 -155 72]
 NS 339-1  4.909e+02  [0 1.000e+00 1.001e-05 6.383e-07]  [40 -143 67]
 NS 339-2s 4.914e+02  [-31 2.539e-02 2.542e-07 8.320e-07]  [38 -140 70]
 NS 340-1  4.919e+02  [0 1.000e+00 6.113e-06 2.288e-07]  [41 -153 67]
 NS 340-2s 4.923e+02  [-32 2.351e-02 1.437e-07 8.699e-07]  [40 -140 70]
