hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 401-1  5.798e+02  [0 1.000e+00 4.284e-05 9.348e-07]  [39 -139 0]
 NS 401-2  5.803e+02  [-6 4.731e-01 2.027e-05 2.485e-07]  [51 -152 75]
 NS 401-3  5.808e+02  [-23 6.960e-02 2.982e-06 8.881e-07]  [42 -139 73]
 NS 401-4s 5.813e+02  [-40 9.372e-03 4.015e-07 1.253e-07]  [38 -159 70]
 NS 402-1  5.817e+02  [0 1.000e+00 4.515e-05 7.004e-07]  [38 -142 66]
 NS 402-2  5.823e+02  [-11 2.553e-01 1.153e-05 3.865e-07]  [51 -148 76]
 NS 402-3  5.827e+02  [-28 3.581e-02 1.617e-06 6.368e-07]  [38 -143 71]
 NS 402-4s 5.832e+02  [-45 5.291e-03 2.389e-07 1.832e-07]  [38 -155 70]
 NS 403-1  5.837e+02  [0 1.000e+00 4.850e-05 8.266e-07]  [38 -140 66]
 NS 403-2  5.842e+02  [-17 1.283e-01 6.223e-06 1.506e-07]  [47 -157 75]
 NS 403-3s 5.846e+02  [-35 1.729e-02 8.384e-07 4.894e-07]  [42 -145 72]
 NS 404-1  5.851e+02  [0 1.000e+00 4.189e-05 5.797e-07]  [38 -144 66]
 NS 404-2  5.856e+02  [-22 7.289e-02 3.053e-06 1.876e-07]  [44 -155 74]
 NS 404-3s 5.861e+02  [-40 9.600e-03 4.021e-07 1.178e-07]  [49 -160 75]
 NS 405-1  5.866e+02  [0 1.000e+00 3.189e-05 5.659e-07]  [38 -144 66]
 NS 405-2  5.871e+02  [-27 4.304e-02 1.373e-06 7.497e-07]  [39 -141 73]
 NS 405-3s 5.876e+02  [-44 5.801e-03 1.850e-07 2.512e-08]  [46 -175 74]
 NS 406-1  5.881e+02  [0 1.000e+00 2.243e-05 5.665e-07]  [38 -144 65]
 NS 406-2s 5.886e+02  [-31 2.787e-02 6.253e-07 8.193e-07]  [38 -140 71]
 NS 407-1  5.891e+02  [0 1.000e+00 1.496e-05 5.914e-07]  [38 -143 66]
 NS 407-2s 5.896e+02  [-32 2.413e-02 3.609e-07 1.483e-07]  [42 -157 72]
 NS 408-1  5.901e+02  [0 1.000e+00 9.584e-06 6.033e-07]  [38 -143 66]
 NS 408-2s 5.906e+02  [-31 2.626e-02 2.517e-07 6.762e-07]  [48 -142 74]
 NS 409-1  5.911e+02  [0 1.000e+00 5.966e-06 5.691e-07]  [38 -144 65]
 NS 409-2s 5.916e+02  [-30 2.847e-02 1.699e-07 3.358e-07]  [46 -149 74]
 NS 410-1  5.921e+02  [0 1.000e+00 3.634e-06 5.773e-07]  [38 -144 66]
 NS 410-2s 5.926e+02  [-30 2.875e-02 1.045e-07 2.487e-07]  [47 -152 74]
