hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 321-1  4.626e+02  [0 1.000e+00 2.093e-04 9.528e-07]  [37 -139 0]
 NS 321-2  4.630e+02  [-4 6.277e-01 1.314e-04 6.417e-07]  [37 -143 69]
 NS 321-3  4.634e+02  [-17 1.368e-01 2.864e-05 7.668e-07]  [38 -141 71]
 NS 321-4  4.639e+02  [-35 1.724e-02 3.609e-06 5.782e-07]  [35 -144 69]
 NS 321-5s 4.643e+02  [-54 1.991e-03 4.168e-07 6.908e-07]  [37 -142 69]
 NS 322-1  4.648e+02  [0 1.000e+00 3.218e-04 5.557e-07]  [37 -144 64]
 NS 322-2  4.652e+02  [-13 2.215e-01 7.127e-05 5.580e-07]  [38 -144 70]
 NS 322-3  4.656e+02  [-26 4.698e-02 1.512e-05 3.805e-07]  [39 -148 71]
 NS 322-4  4.660e+02  [-44 6.002e-03 1.931e-06 8.717e-07]  [36 -140 69]
 NS 322-5s 4.665e+02  [-62 7.318e-04 2.355e-07 5.895e-07]  [37 -143 69]
 NS 323-1  4.669e+02  [0 1.000e+00 3.904e-04 9.074e-07]  [36 -139 64]
 NS 323-2  4.674e+02  [-20 9.369e-02 3.658e-05 1.374e-07]  [39 -158 71]
 NS 323-3  4.678e+02  [-34 1.915e-02 7.478e-06 5.006e-07]  [38 -145 71]
 NS 323-4s 4.683e+02  [-52 2.487e-03 9.710e-07 3.216e-07]  [39 -150 70]
 NS 324-1  4.688e+02  [0 1.000e+00 3.460e-04 9.234e-07]  [36 -139 64]
 NS 324-2  4.692e+02  [-25 5.143e-02 1.779e-05 5.947e-07]  [37 -143 70]
 NS 324-3  4.696e+02  [-39 1.010e-02 3.495e-06 6.633e-07]  [38 -142 71]
 NS 324-4s 4.701e+02  [-57 1.361e-03 4.708e-07 8.411e-07]  [38 -140 67]
 NS 325-1  4.706e+02  [0 1.000e+00 2.660e-04 6.235e-07]  [38 -143 65]
 NS 325-2  4.710e+02  [-29 3.249e-02 8.644e-06 2.487e-07]  [38 -152 71]
 NS 325-3  4.714e+02  [-44 6.301e-03 1.676e-06 2.304e-07]  [38 -153 71]
 NS 325-4s 4.719e+02  [-61 8.708e-04 2.316e-07 9.710e-07]  [38 -138 69]
 NS 326-1  4.723e+02  [0 1.000e+00 1.881e-04 9.832e-07]  [37 -138 65]
 NS 326-2  4.728e+02  [-32 2.334e-02 4.389e-06 3.504e-07]  [38 -149 70]
 NS 326-3s 4.732e+02  [-46 4.742e-03 8.918e-07 3.638e-07]  [38 -148 69]
 NS 327-1  4.737e+02  [0 1.000e+00 1.259e-04 9.725e-07]  [37 -138 64]
 NS 327-2  4.741e+02  [-34 1.871e-02 2.355e-06 5.634e-08]  [39 -167 71]
 NS 327-3s 4.746e+02  [-47 4.056e-03 5.108e-07 4.423e-07]  [38 -146 69]
 NS 328-1  4.750e+02  [0 1.000e+00 8.106e-05 8.911e-07]  [37 -139 65]
 NS 328-2  4.755e+02  [-35 1.614e-02 1.309e-06 6.887e-07]  [37 -142 70]
 NS 328-3s 4.759e+02  [-48 3.558e-03 2.884e-07 5.292e-07]  [38 -145 69]
 NS 329-1  4.764e+02  [0 1.000e+00 5.069e-05 8.412e-07]  [37 -140 64]
 NS 329-2s 4.768e+02  [-36 1.549e-02 7.851e-07 4.312e-07]  [38 -147 69]
 NS 330-1  4.773e+02  [0 1.000e+00 3.098e-05 7.730e-07]  [36 -141 64]
 NS 330-2s 4.777e+02  [-35 1.621e-02 5.020e-07 2.370e-07]  [42 -153 71]
