hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 211-1  3.058e+02  [0 1.000e+00 1.831e-04 2.069e-07]  [43 -154 0]
 NS 211-2  3.062e+02  [-3 6.559e-01 1.201e-04 5.896e-07]  [39 -143 70]
 NS 211-3  3.067e+02  [-17 1.283e-01 2.350e-05 3.298e-07]  [40 -149 72]
 NS 211-4  3.071e+02  [-35 1.741e-02 3.187e-06 3.935e-07]  [36 -147 70]
 NS 211-5s 3.076e+02  [-53 2.024e-03 3.706e-07 2.881e-07]  [40 -151 70]
 NS 212-1  3.081e+02  [0 1.000e+00 2.420e-04 7.184e-07]  [40 -141 66]
 NS 212-2  3.085e+02  [-12 2.510e-01 6.074e-05 3.487e-07]  [39 -149 71]
 NS 212-3  3.090e+02  [-26 4.733e-02 1.145e-05 5.439e-07]  [40 -144 72]
 NS 212-4  3.094e+02  [-43 6.746e-03 1.632e-06 6.817e-07]  [37 -142 71]
 NS 212-5s 3.099e+02  [-61 8.096e-04 1.959e-07 8.394e-07]  [39 -140 70]
 NS 213-1  3.103e+02  [0 1.000e+00 2.695e-04 9.840e-07]  [37 -138 65]
 NS 213-2  3.108e+02  [-19 1.089e-01 2.935e-05 4.931e-07]  [39 -145 71]
 NS 213-3  3.112e+02  [-34 1.944e-02 5.239e-06 4.899e-07]  [41 -145 72]
 NS 213-4s 3.117e+02  [-50 2.915e-03 7.855e-07 9.587e-08]  [39 -162 71]
 NS 214-1  3.122e+02  [0 1.000e+00 2.314e-04 8.025e-07]  [37 -140 65]
 NS 214-2  3.126e+02  [-24 6.147e-02 1.422e-05 2.626e-07]  [40 -152 72]
 NS 214-3  3.131e+02  [-39 1.037e-02 2.399e-06 9.295e-07]  [38 -139 71]
 NS 214-4s 3.135e+02  [-55 1.599e-03 3.700e-07 5.673e-07]  [39 -144 70]
 NS 215-1  3.140e+02  [0 1.000e+00 1.746e-04 5.864e-07]  [38 -143 66]
 NS 215-2  3.145e+02  [-27 4.185e-02 7.307e-06 5.438e-07]  [40 -144 72]
 NS 215-3  3.149e+02  [-43 6.968e-03 1.217e-06 2.759e-07]  [39 -151 71]
 NS 215-4s 3.154e+02  [-59 1.037e-03 1.811e-07 3.122e-07]  [40 -150 71]
 NS 216-1  3.158e+02  [0 1.000e+00 1.224e-04 9.238e-07]  [37 -139 65]
 NS 216-2  3.163e+02  [-29 3.188e-02 3.901e-06 6.088e-07]  [39 -143 72]
 NS 216-3s 3.167e+02  [-44 5.689e-03 6.961e-07 2.778e-07]  [39 -151 70]
 NS 217-1  3.172e+02  [0 1.000e+00 8.155e-05 8.313e-07]  [37 -140 65]
 NS 217-2  3.177e+02  [-31 2.545e-02 2.075e-06 8.200e-07]  [39 -140 71]
 NS 217-3s 3.181e+02  [-46 4.893e-03 3.991e-07 6.997e-07]  [39 -142 70]
 NS 218-1  3.186e+02  [0 1.000e+00 5.236e-05 8.063e-07]  [37 -140 65]
 NS 218-2  3.191e+02  [-33 2.090e-02 1.094e-06 6.107e-07]  [42 -143 73]
 NS 218-3s 3.195e+02  [-47 4.139e-03 2.167e-07 8.494e-07]  [37 -140 70]
 NS 219-1  3.200e+02  [0 1.000e+00 3.265e-05 7.611e-07]  [37 -141 65]
 NS 219-2s 3.204e+02  [-34 1.877e-02 6.129e-07 9.701e-07]  [38 -138 70]
 NS 220-1  3.209e+02  [0 1.000e+00 1.990e-05 7.542e-07]  [37 -141 65]
 NS 220-2s 3.213e+02  [-34 1.817e-02 3.616e-07 3.835e-07]  [40 -148 71]
