hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 101-1  1.432e+02  [0 1.000e+00 1.285e-04 9.801e-07]  [39 -138 0]
 NS 101-2  1.437e+02  [-4 6.089e-01 7.824e-05 8.244e-08]  [40 -163 71]
 NS 101-3  1.441e+02  [-20 9.780e-02 1.257e-05 4.214e-07]  [41 -147 72]
 NS 101-4  1.446e+02  [-37 1.332e-02 1.711e-06 7.279e-07]  [40 -141 72]
 NS 101-5s 1.451e+02  [-55 1.670e-03 2.145e-07 6.216e-07]  [38 -143 69]
 NS 102-1  1.456e+02  [0 1.000e+00 3.147e-04 6.879e-07]  [38 -142 66]
 NS 102-2  1.461e+02  [-17 1.315e-01 4.138e-05 4.376e-07]  [40 -146 71]
 NS 102-3  1.466e+02  [-33 2.002e-02 6.301e-06 6.638e-07]  [41 -142 72]
 NS 102-4s 1.471e+02  [-50 2.889e-03 9.092e-07 7.497e-07]  [40 -141 70]
 NS 103-1  1.476e+02  [0 1.000e+00 3.788e-04 8.424e-07]  [38 -140 66]
 NS 103-2  1.480e+02  [-25 5.581e-02 2.114e-05 1.324e-07]  [40 -158 72]
 NS 103-3  1.485e+02  [-41 7.992e-03 3.027e-06 7.133e-07]  [41 -142 72]
 NS 103-4s 1.489e+02  [-58 1.236e-03 4.683e-07 8.685e-07]  [38 -140 70]
 NS 104-1  1.494e+02  [0 1.000e+00 3.333e-04 8.355e-07]  [38 -140 66]
 NS 104-2  1.499e+02  [-30 3.084e-02 1.028e-05 2.336e-07]  [39 -153 71]
 NS 104-3  1.503e+02  [-47 4.153e-03 1.384e-06 1.890e-07]  [41 -155 72]
 NS 104-4s 1.509e+02  [-63 6.800e-04 2.266e-07 5.670e-07]  [39 -144 65]
 NS 105-1  1.513e+02  [0 1.000e+00 2.551e-04 8.076e-07]  [38 -140 65]
 NS 105-2  1.518e+02  [-34 1.911e-02 4.874e-06 8.391e-07]  [39 -140 71]
 NS 105-3s 1.523e+02  [-51 2.555e-03 6.519e-07 1.465e-07]  [41 -157 71]
 NS 106-1  1.527e+02  [0 1.000e+00 1.800e-04 8.860e-07]  [38 -139 66]
 NS 106-2  1.532e+02  [-37 1.309e-02 2.355e-06 1.094e-07]  [40 -160 72]
 NS 106-3s 1.536e+02  [-54 1.948e-03 3.505e-07 5.839e-07]  [40 -144 70]
 NS 107-1  1.541e+02  [0 1.000e+00 1.203e-04 7.847e-07]  [38 -141 66]
 NS 107-2  1.546e+02  [-39 1.005e-02 1.209e-06 6.652e-07]  [39 -142 72]
 NS 107-3s 1.551e+02  [-55 1.717e-03 2.066e-07 6.676e-07]  [44 -142 72]
 NS 108-1  1.555e+02  [0 1.000e+00 7.741e-05 7.322e-07]  [38 -141 66]
 NS 108-2s 1.560e+02  [-41 8.852e-03 6.852e-07 7.132e-07]  [41 -142 71]
 NS 109-1  1.565e+02  [0 1.000e+00 4.835e-05 8.053e-07]  [37 -140 65]
 NS 109-2s 1.570e+02  [-41 8.600e-03 4.158e-07 2.954e-07]  [43 -150 72]
 NS 110-1  1.574e+02  [0 1.000e+00 2.950e-05 8.758e-07]  [37 -139 65]
 NS 110-2s 1.579e+02  [-40 9.090e-03 2.681e-07 7.017e-07]  [47 -142 73]
