hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 601-1  8.735e+02  [0 1.000e+00 5.818e-06 3.964e-07]  [45 -147 0]
 NS 601-2  8.740e+02  [-10 2.970e-01 1.728e-06 8.618e-07]  [43 -140 72]
 NS 601-3s 8.745e+02  [-26 4.658e-02 2.710e-07 7.983e-07]  [38 -140 70]
 NS 602-1  8.750e+02  [0 1.000e+00 8.354e-06 8.144e-07]  [44 -140 68]
 NS 602-2s 8.755e+02  [-19 1.083e-01 9.046e-07 6.699e-07]  [44 -142 73]
 NS 603-1  8.760e+02  [0 1.000e+00 9.445e-06 1.740e-07]  [45 -156 69]
 NS 603-2s 8.765e+02  [-26 4.885e-02 4.614e-07 5.260e-07]  [43 -145 72]
 NS 604-1  8.771e+02  [0 1.000e+00 8.181e-06 9.563e-08]  [45 -162 69]
 NS 604-2s 8.775e+02  [-30 2.831e-02 2.316e-07 3.426e-07]  [42 -149 72]
 NS 605-1  8.781e+02  [0 1.000e+00 6.220e-06 1.245e-07]  [45 -159 69]
 NS 605-2s 8.786e+02  [-34 1.916e-02 1.191e-07 5.598e-07]  [42 -144 72]
 NS 606-1  8.791e+02  [0 1.000e+00 4.373e-06 9.296e-07]  [43 -139 68]
 NS 606-2s 8.795e+02  [-36 1.465e-02 6.407e-08 9.398e-07]  [40 -139 71]
 NS 607-1  8.800e+02  [0 1.000e+00 2.917e-06 9.454e-07]  [43 -139 68]
 NS 607-2s 8.805e+02  [-38 1.229e-02 3.584e-08 3.533e-07]  [42 -149 72]
 NS 608-1  8.811e+02  [0 1.000e+00 1.871e-06 1.334e-07]  [45 -158 69]
 NS 608-2s 8.815e+02  [-38 1.149e-02 2.150e-08 8.101e-07]  [40 -140 71]
 NS 609-1  8.820e+02  [0 1.000e+00 1.166e-06 1.546e-07]  [45 -157 69]
 NS 609-2s 8.825e+02  [-38 1.169e-02 1.363e-08 9.465e-07]  [42 -139 72]
 NS 610-1s 8.831e+02  [0 1.000e+00 7.107e-07 9.491e-07]  [43 -139 68]
