---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
 NS 15-2  3.097e+01  [-32 2.262e-02 2.704e-05 8.435e-07]  [91 -140 86]
 NS 15-3s 3.159e+01  [-64 6.088e-04 7.277e-07 6.356e-07]  [105 -143 87]
 NS 16-1  3.212e+01  [0 1.000e+00 2.304e-03 8.285e-07]  [84 -140 79]
 NS 16-2  3.267e+01  [-40 8.994e-03 2.072e-05 5.472e-07]  [92 -144 85]
 NS 16-3s 3.325e+01  [-70 3.003e-04 6.917e-07 7.876e-07]  [98 -141 86]
 NS 17-1  3.379e+01  [0 1.000e+00 3.293e-03 8.914e-07]  [86 -139 78]
 NS 17-2  3.434e+01  [-44 6.248e-03 2.058e-05 7.447e-07]  [92 -141 85]
 NS 17-3  3.490e+01  [-69 3.421e-04 1.126e-06 5.554e-07]  [96 -144 86]
 NS 17-4s 3.547e+01  [-82 7.272e-05 2.395e-07 6.179e-07]  [97 -143 85]
 NS 18-1  3.604e+01  [0 1.000e+00 4.086e-03 7.063e-07]  [89 -142 80]
 NS 18-2  3.690e+01  [-47 4.048e-03 1.654e-05 7.507e-07]  [90 -141 91]
 NS 18-3  3.745e+01  [-68 3.853e-04 1.574e-06 8.465e-07]  [96 -140 86]
 NS 18-4s 3.801e+01  [-85 5.602e-05 2.289e-07 5.800e-07]  [96 -144 86]
 NS 19-1  3.856e+01  [0 1.000e+00 4.659e-03 9.344e-07]  [88 -139 80]
 NS 19-2  3.908e+01  [-49 3.412e-03 1.590e-05 9.800e-07]  [88 -138 86]
 NS 19-3  3.968e+01  [-66 4.590e-04 2.139e-06 8.997e-07]  [105 -139 88]
 NS 19-4s 4.024e+01  [-85 5.191e-05 2.419e-07 7.226e-07]  [94 -141 85]
 NS 20-1  4.078e+01  [0 1.000e+00 5.136e-03 9.903e-07]  [87 -138 79]
 NS 20-2  4.135e+01  [-49 3.264e-03 1.676e-05 5.318e-07]  [90 -144 86]
 NS 20-3  4.189e+01  [-65 5.187e-04 2.664e-06 9.816e-07]  [91 -138 86]
 NS 20-4s 4.244e+01  [-85 5.056e-05 2.597e-07 3.156e-07]  [93 -150 85]
 NS 21-1  4.300e+01  [0 1.000e+00 5.466e-03 7.910e-07]  [88 -140 80]
 NS 21-2  4.353e+01  [-50 3.133e-03 1.712e-05 6.397e-07]  [90 -143 87]
 NS 21-3  4.404e+01  [-64 5.720e-04 3.126e-06 4.983e-07]  [88 -145 85]
 NS 21-4s 4.457e+01  [-86 4.672e-05 2.553e-07 9.439e-07]  [88 -139 84]
 NS 22-1  4.511e+01  [0 1.000e+00 5.714e-03 5.148e-07]  [87 -145 79]
 NS 22-2  4.563e+01  [-49 3.495e-03 1.997e-05 7.164e-07]  [89 -141 85]
 NS 22-3  4.615e+01  [-63 6.387e-04 3.649e-06 3.660e-07]  [86 -148 86]
 NS 22-4s 4.666e+01  [-85 5.088e-05 2.907e-07 5.660e-07]  [85 -144 84]
 NS 23-1  4.720e+01  [0 1.000e+00 5.948e-03 5.696e-07]  [85 -144 80]
 NS 23-2  4.789e+01  [-48 3.815e-03 2.269e-05 2.476e-07]  [124 -152 89]
 NS 23-3  4.838e+01  [-63 6.985e-04 4.154e-06 5.176e-07]  [82 -145 86]
 NS 23-4s 4.887e+01  [-85 5.152e-05 3.064e-07 9.775e-07]  [80 -138 83]
 NS 24-1  4.939e+01  [0 1.000e+00 6.092e-03 2.864e-07]  [83 -151 79]
 NS 24-2  4.988e+01  [-47 4.251e-03 2.590e-05 5.411e-07]  [83 -144 85]
 NS 24-3  5.041e+01  [-62 7.657e-04 4.664e-06 9.048e-07]  [86 -139 86]
 NS 24-4s 5.089e+01  [-85 5.449e-05 3.319e-07 5.149e-07]  [79 -145 84]
 NS 25-1  5.143e+01  [0 1.000e+00 6.191e-03 1.651e-07]  [80 -156 80]
 NS 25-2  5.195e+01  [-46 4.810e-03 2.978e-05 7.688e-07]  [77 -141 85]
 NS 25-3  5.245e+01  [-61 8.388e-04 5.193e-06 9.527e-07]  [83 -139 86]
 NS 25-4s 5.290e+01  [-84 5.885e-05 3.643e-07 4.863e-07]  [74 -145 82]
 NS 26-1  5.340e+01  [0 1.000e+00 6.211e-03 1.185e-07]  [77 -159 78]
 NS 26-2  5.385e+01  [-45 5.391e-03 3.348e-05 6.930e-07]  [72 -142 84]
 NS 26-3  5.434e+01  [-60 8.997e-04 5.588e-06 1.568e-07]  [81 -157 85]
 NS 26-4s 5.478e+01  [-84 6.032e-05 3.746e-07 2.317e-07]  [73 -153 82]
 NS 27-1  5.522e+01  [0 1.000e+00 6.083e-03 9.330e-07]  [68 -139 76]
 NS 27-2  5.565e+01  [-44 6.034e-03 3.671e-05 6.290e-07]  [68 -143 82]
 NS 27-3  5.608e+01  [-60 9.749e-04 5.930e-06 1.746e-07]  [71 -156 83]
 NS 27-4s 5.650e+01  [-83 6.456e-05 3.927e-07 4.079e-07]  [66 -147 81]
 NS 28-1  5.693e+01  [0 1.000e+00 5.893e-03 9.322e-07]  [64 -139 74]
 NS 28-2  5.733e+01  [-43 6.589e-03 3.883e-05 6.547e-07]  [65 -142 80]
 NS 28-3  5.775e+01  [-59 1.010e-03 5.953e-06 3.975e-07]  [65 -147 81]
 NS 28-4s 5.814e+01  [-83 6.344e-05 3.738e-07 3.408e-07]  [62 -149 78]
 NS 29-1  5.855e+01  [0 1.000e+00 5.476e-03 5.571e-07]  [58 -144 71]
 NS 29-2  5.893e+01  [-43 7.021e-03 3.845e-05 4.198e-07]  [58 -147 79]
 NS 29-3  5.932e+01  [-59 1.032e-03 5.654e-06 8.933e-07]  [61 -139 79]
 NS 29-4s 5.970e+01  [-84 6.196e-05 3.393e-07 4.554e-07]  [58 -146 76]
 NS 30-1  6.010e+01  [0 1.000e+00 4.985e-03 6.848e-07]  [54 -142 72]
 NS 30-2  6.043e+01  [-42 7.119e-03 3.548e-05 6.688e-07]  [51 -142 76]
 NS 30-3  6.080e+01  [-59 1.007e-03 5.021e-06 5.342e-07]  [57 -144 80]
 NS 30-4s 6.113e+01  [-84 5.764e-05 2.873e-07 9.067e-07]  [48 -139 77]
 NS 31-1  6.149e+01  [0 1.000e+00 4.374e-03 5.467e-07]  [49 -144 69]
 NS 31-2  6.184e+01  [-43 6.941e-03 3.036e-05 3.754e-07]  [51 -148 78]
 NS 31-3  6.217e+01  [-60 9.266e-04 4.053e-06 5.345e-07]  [50 -144 76]
 NS 31-4s 6.251e+01  [-86 4.982e-05 2.179e-07 3.563e-07]  [49 -148 75]
 NS 32-1  6.284e+01  [0 1.000e+00 3.677e-03 9.941e-07]  [44 -138 67]
 NS 32-2  6.317e+01  [-43 6.473e-03 2.380e-05 3.992e-07]  [50 -147 77]
 NS 32-3  6.351e+01  [-61 8.293e-04 3.049e-06 6.101e-07]  [49 -143 76]
 NS 32-4s 6.382e+01  [-87 4.288e-05 1.577e-07 4.878e-07]  [45 -145 73]
 NS 33-1  6.417e+01  [0 1.000e+00 3.057e-03 8.680e-07]  [44 -140 68]
 NS 33-2  6.452e+01  [-44 5.726e-03 1.751e-05 3.210e-07]  [50 -150 78]
 NS 33-3  6.484e+01  [-63 6.688e-04 2.045e-06 9.647e-07]  [45 -139 74]
 NS 33-4s 6.515e+01  [-89 3.217e-05 9.837e-08 9.105e-07]  [45 -139 72]
 NS 34-1  6.550e+01  [0 1.000e+00 2.354e-03 5.833e-07]  [44 -144 68]
 NS 34-2  6.581e+01  [-46 4.997e-03 1.176e-05 6.691e-07]  [46 -142 75]
 NS 34-3  6.611e+01  [-65 5.326e-04 1.254e-06 9.693e-07]  [43 -138 75]
 NS 34-4s 6.644e+01  [-92 2.364e-05 5.565e-08 5.198e-07]  [46 -145 77]
 NS 35-1  6.684e+01  [0 1.000e+00 1.823e-03 8.149e-07]  [41 -140 70]
 NS 35-2  6.715e+01  [-47 4.076e-03 7.431e-06 5.812e-07]  [45 -144 74]
 NS 35-3s 6.748e+01  [-68 3.865e-04 7.046e-07 2.925e-07]  [47 -150 74]
 NS 36-1  6.783e+01  [0 1.000e+00 1.321e-03 9.030e-08]  [46 -162 68]
 NS 36-2  6.815e+01  [-49 3.351e-03 4.426e-06 5.057e-07]  [45 -145 77]
 NS 36-3s 6.847e+01  [-71 2.660e-04 3.514e-07 1.708e-07]  [46 -156 75]
 NS 37-1  6.882e+01  [0 1.000e+00 9.076e-04 7.938e-07]  [44 -140 68]
 NS 37-2  6.913e+01  [-51 2.662e-03 2.416e-06 3.398e-07]  [46 -149 75]
 NS 37-3s 6.946e+01  [-74 1.782e-04 1.617e-07 8.634e-07]  [46 -140 75]
 NS 38-1  6.978e+01  [0 1.000e+00 6.156e-04 7.347e-07]  [41 -141 65]
 NS 38-2  7.010e+01  [-52 2.302e-03 1.417e-06 2.737e-07]  [47 -151 76]
 NS 38-3s 7.041e+01  [-80 9.494e-05 5.845e-08 9.002e-07]  [44 -139 74]
 NS 39-1  7.074e+01  [0 1.000e+00 2.808e-04 7.578e-07]  [41 -141 66]
 NS 39-2s 7.111e+01  [-49 3.344e-03 9.390e-07 2.765e-07]  [46 -151 77]
 NS 40-1  7.147e+01  [0 1.000e+00 5.715e-05 3.133e-07]  [47 -150 70]
