---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 41-1  6.208e+01  [0 1.000e+00 2.256e-04 8.383e-07]  [45 -140 1]
 NS 41-2  6.258e+01  [-4 5.774e-01 1.303e-04 5.874e-07]  [40 -143 67]
 NS 41-3  6.320e+01  [-26 4.823e-02 1.088e-05 3.861e-07]  [43 -148 79]
 NS 41-4  6.366e+01  [-46 4.829e-03 1.089e-06 6.648e-07]  [38 -142 69]
 NS 41-5s 6.415e+01  [-64 5.753e-04 1.298e-07 3.033e-07]  [41 -150 72]
 NS 42-1  6.474e+01  [0 1.000e+00 7.810e-04 6.686e-07]  [40 -142 58]
 NS 42-2  6.525e+01  [-22 7.644e-02 5.970e-05 5.564e-07]  [42 -144 74]
 NS 42-3  6.582e+01  [-44 6.305e-03 4.924e-06 8.108e-07]  [42 -140 65]
 NS 42-4s 6.629e+01  [-63 7.013e-04 5.477e-07 8.859e-07]  [38 -139 71]
 NS 43-1  6.679e+01  [0 1.000e+00 8.997e-04 8.407e-07]  [38 -140 66]
 NS 43-2  6.734e+01  [-30 2.846e-02 2.560e-05 9.441e-07]  [43 -139 76]
 NS 43-3  6.785e+01  [-52 2.418e-03 2.176e-06 2.563e-07]  [43 -152 71]
 NS 43-4s 6.870e+01  [-70 2.850e-04 2.565e-07 8.843e-07]  [59 -139 69]
 NS 44-1  6.947e+01  [0 1.000e+00 7.807e-04 4.905e-07]  [39 -145 55]
 NS 44-2  6.997e+01  [-37 1.372e-02 1.071e-05 3.575e-07]  [43 -148 74]
 NS 44-3  7.048e+01  [-57 1.308e-03 1.021e-06 2.089e-07]  [43 -154 75]
 NS 44-4s 7.097e+01  [-76 1.523e-04 1.189e-07 6.036e-07]  [42 -143 72]
 NS 45-1  7.156e+01  [0 1.000e+00 5.922e-04 3.909e-07]  [40 -148 72]
 NS 45-2  7.204e+01  [-41 8.552e-03 5.065e-06 7.617e-07]  [41 -141 73]
 NS 45-3s 7.253e+01  [-61 8.848e-04 5.240e-07 9.935e-07]  [41 -138 72]
 NS 46-1  7.304e+01  [0 1.000e+00 4.158e-04 3.892e-07]  [40 -148 67]
 NS 46-2  7.353e+01  [-42 7.147e-03 2.972e-06 6.485e-07]  [40 -142 74]
 NS 46-3s 7.404e+01  [-63 6.720e-04 2.794e-07 1.787e-07]  [43 -155 73]
 NS 47-1  7.460e+01  [0 1.000e+00 2.771e-04 4.784e-07]  [39 -146 71]
 NS 47-2  7.509e+01  [-43 6.602e-03 1.829e-06 4.309e-07]  [42 -147 74]
 NS 47-3s 7.561e+01  [-65 5.261e-04 1.458e-07 1.552e-07]  [43 -157 73]
 NS 48-1  7.611e+01  [0 1.000e+00 1.779e-04 4.729e-07]  [39 -146 67]
 NS 48-2  7.658e+01  [-44 5.839e-03 1.039e-06 6.610e-07]  [40 -142 71]
 NS 48-3s 7.705e+01  [-67 4.205e-04 7.480e-08 9.963e-07]  [39 -138 71]
 NS 49-1  7.756e+01  [0 1.000e+00 1.109e-04 5.237e-07]  [39 -145 68]
 NS 49-2s 7.806e+01  [-46 4.897e-03 5.433e-07 2.399e-07]  [43 -152 73]
 NS 50-1  7.864e+01  [0 1.000e+00 6.766e-05 8.583e-07]  [38 -140 65]
 NS 50-2s 7.915e+01  [-48 3.960e-03 2.680e-07 4.999e-07]  [44 -145 73]
