hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
WARNING: No 'steady/stFile_last.bin' file to restart simulation from; Resetting restart flag to false---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  1.843e+00  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 92]
 NS 1-2  3.712e+00  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 93]
 NS 1-3  5.544e+00  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 93]
 NS 1-4  7.371e+00  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 93]
 NS 1-5  9.192e+00  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 93]
 NS 1-6  1.101e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 1-7  1.282e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 93]
 NS 1-8  1.464e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 1-9  1.646e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 1-10s 1.829e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 93]
 NS 2-1  2.013e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 92]
 NS 2-2  2.195e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 2-3  2.377e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 2-4  2.558e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 2-5  2.740e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 2-6  2.922e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 2-7  3.108e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 2-8  3.291e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 93]
 NS 2-9  3.473e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 93]
 NS 2-10s 3.656e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 93]
 NS 3-1  3.844e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 92]
 NS 3-2  4.029e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 3-3  4.212e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 93]
 NS 3-4  4.394e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 93]
 NS 3-5  4.576e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 3-6  4.757e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 93]
 NS 3-7  4.939e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 3-8  5.121e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 3-9  5.304e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 3-10s 5.487e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 93]
 NS 4-1  5.672e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 92]
 NS 4-2  5.854e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 4-3  6.036e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 4-4  6.220e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 4-5  6.402e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 4-6  6.584e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 4-7  6.766e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 4-8  6.948e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 4-9  7.130e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 93]
 NS 4-10s 7.312e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 93]
 NS 5-1  7.497e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 92]
 NS 5-2  7.678e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 5-3  7.860e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 5-4  8.042e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 5-5  8.223e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 93]
 NS 5-6  8.405e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 5-7  8.587e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 5-8  8.769e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 5-9  8.950e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 5-10s 9.134e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 93]
 NS 6-1  9.318e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 92]
 NS 6-2  9.501e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 6-3  9.684e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 6-4  9.867e+01  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 6-5  1.005e+02  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 6-6  1.023e+02  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 6-7  1.041e+02  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 6-8  1.059e+02  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 94]
 NS 6-9  1.078e+02  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 93]
 NS 6-10s 1.096e+02  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 93]
 NS 7-1  1.114e+02  [0 1.000e+00 1.000e+00 9.994e-02]  [289 -1 92]
