hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 461-1  6.707e+02  [0 1.000e+00 4.564e-05 7.597e-07]  [43 -141 0]
 NS 461-2  6.712e+02  [-6 4.853e-01 2.215e-05 4.963e-07]  [44 -145 73]
 NS 461-3  6.716e+02  [-21 8.829e-02 4.029e-06 6.670e-07]  [40 -142 72]
 NS 461-4s 6.721e+02  [-38 1.183e-02 5.400e-07 7.036e-07]  [37 -142 70]
 NS 462-1  6.726e+02  [0 1.000e+00 3.697e-05 1.453e-07]  [45 -157 69]
 NS 462-2  6.731e+02  [-9 3.376e-01 1.248e-05 3.171e-07]  [42 -150 74]
 NS 462-3  6.735e+02  [-25 5.566e-02 2.058e-06 8.859e-07]  [39 -139 72]
 NS 462-4s 6.740e+02  [-42 7.863e-03 2.907e-07 8.409e-07]  [38 -140 71]
 NS 463-1  6.745e+02  [0 1.000e+00 3.940e-05 4.361e-07]  [43 -146 70]
 NS 463-2  6.750e+02  [-15 1.708e-01 6.729e-06 1.888e-07]  [42 -155 73]
 NS 463-3  6.755e+02  [-31 2.575e-02 1.014e-06 6.738e-07]  [40 -142 72]
 NS 463-4s 6.760e+02  [-48 3.901e-03 1.537e-07 9.805e-07]  [40 -138 71]
 NS 464-1  6.765e+02  [0 1.000e+00 3.426e-05 9.735e-07]  [42 -138 68]
 NS 464-2  6.770e+02  [-20 9.920e-02 3.399e-06 8.492e-07]  [47 -140 75]
 NS 464-3s 6.775e+02  [-37 1.406e-02 4.818e-07 2.017e-07]  [44 -154 74]
 NS 465-1  6.780e+02  [0 1.000e+00 2.607e-05 9.627e-07]  [41 -139 67]
 NS 465-2  6.785e+02  [-24 6.257e-02 1.631e-06 7.886e-07]  [41 -141 71]
 NS 465-3s 6.790e+02  [-41 8.361e-03 2.180e-07 3.174e-07]  [42 -150 73]
 NS 466-1  6.795e+02  [0 1.000e+00 1.829e-05 8.266e-07]  [42 -140 68]
 NS 466-2s 6.800e+02  [-27 4.368e-02 7.991e-07 8.955e-07]  [39 -139 70]
 NS 467-1  6.805e+02  [0 1.000e+00 1.219e-05 8.576e-07]  [42 -140 68]
 NS 467-2s 6.810e+02  [-28 3.559e-02 4.338e-07 8.657e-07]  [41 -140 72]
 NS 468-1  6.815e+02  [0 1.000e+00 7.834e-06 9.218e-07]  [39 -139 66]
 NS 468-2s 6.819e+02  [-29 3.387e-02 2.653e-07 5.399e-07]  [39 -144 70]
 NS 469-1  6.824e+02  [0 1.000e+00 4.904e-06 9.769e-07]  [39 -138 66]
 NS 469-2s 6.829e+02  [-29 3.295e-02 1.616e-07 9.844e-07]  [38 -138 70]
 NS 470-1  6.834e+02  [0 1.000e+00 3.008e-06 8.894e-07]  [42 -139 68]
 NS 470-2s 6.839e+02  [-29 3.189e-02 9.594e-08 7.364e-07]  [40 -141 71]
