hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 191-1  2.735e+02  [0 1.000e+00 3.886e-05 2.483e-07]  [42 -152 0]
 NS 191-2  2.740e+02  [-6 4.645e-01 1.805e-05 6.469e-07]  [39 -143 70]
 NS 191-3  2.744e+02  [-22 7.238e-02 2.813e-06 5.107e-07]  [39 -145 71]
 NS 191-4s 2.748e+02  [-40 9.208e-03 3.578e-07 8.744e-07]  [38 -139 69]
 NS 192-1  2.753e+02  [0 1.000e+00 9.670e-05 9.961e-07]  [37 -138 64]
 NS 192-2  2.758e+02  [-19 1.015e-01 9.819e-06 6.833e-07]  [40 -142 72]
 NS 192-3  2.762e+02  [-36 1.510e-02 1.460e-06 7.571e-07]  [38 -141 71]
 NS 192-4s 2.768e+02  [-54 1.991e-03 1.925e-07 9.700e-07]  [55 -138 76]
 NS 193-1  2.772e+02  [0 1.000e+00 1.129e-04 8.038e-07]  [37 -140 65]
 NS 193-2  2.777e+02  [-26 4.789e-02 5.405e-06 5.376e-07]  [40 -144 72]
 NS 193-3s 2.781e+02  [-43 6.704e-03 7.566e-07 8.763e-07]  [38 -139 69]
 NS 194-1  2.786e+02  [0 1.000e+00 9.832e-05 6.914e-07]  [37 -142 65]
 NS 194-2  2.791e+02  [-30 2.911e-02 2.862e-06 9.331e-07]  [41 -139 72]
 NS 194-3s 2.795e+02  [-48 3.815e-03 3.751e-07 3.272e-07]  [38 -149 70]
 NS 195-1  2.800e+02  [0 1.000e+00 7.486e-05 4.606e-07]  [38 -146 65]
 NS 195-2  2.804e+02  [-34 1.923e-02 1.440e-06 7.369e-07]  [41 -141 72]
 NS 195-3s 2.809e+02  [-52 2.337e-03 1.749e-07 4.175e-07]  [39 -147 70]
 NS 196-1  2.814e+02  [0 1.000e+00 5.266e-05 7.606e-07]  [37 -141 65]
 NS 196-2s 2.818e+02  [-37 1.335e-02 7.032e-07 8.491e-07]  [40 -140 71]
 NS 197-1  2.823e+02  [0 1.000e+00 3.515e-05 6.181e-07]  [37 -143 65]
 NS 197-2s 2.828e+02  [-39 1.018e-02 3.577e-07 5.750e-07]  [40 -144 71]
 NS 198-1  2.832e+02  [0 1.000e+00 2.256e-05 6.536e-07]  [37 -142 65]
 NS 198-2s 2.837e+02  [-40 9.096e-03 2.052e-07 9.906e-07]  [40 -138 70]
 NS 199-1  2.842e+02  [0 1.000e+00 1.406e-05 6.199e-07]  [37 -143 65]
 NS 199-2s 2.846e+02  [-40 9.396e-03 1.321e-07 9.099e-07]  [38 -139 69]
 NS 200-1  2.851e+02  [0 1.000e+00 8.570e-06 7.425e-07]  [37 -141 65]
 NS 200-2s 2.855e+02  [-39 1.016e-02 8.705e-08 6.704e-07]  [38 -142 69]
