hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 541-1  7.865e+02  [0 1.000e+00 1.251e-05 3.271e-07]  [44 -149 0]
 NS 541-2  7.869e+02  [-7 4.366e-01 5.460e-06 9.964e-07]  [40 -138 71]
 NS 541-3s 7.874e+02  [-23 6.554e-02 8.197e-07 8.389e-07]  [40 -140 71]
 NS 542-1  7.879e+02  [0 1.000e+00 8.260e-06 9.529e-07]  [41 -139 67]
 NS 542-2  7.884e+02  [-8 3.651e-01 3.016e-06 7.917e-07]  [40 -140 72]
 NS 542-3s 7.888e+02  [-26 4.965e-02 4.101e-07 6.492e-07]  [40 -142 71]
 NS 543-1  7.893e+02  [0 1.000e+00 8.398e-06 8.320e-07]  [40 -140 67]
 NS 543-2  7.898e+02  [-13 2.000e-01 1.680e-06 8.207e-07]  [40 -140 72]
 NS 543-3s 7.902e+02  [-31 2.591e-02 2.176e-07 6.640e-07]  [39 -142 71]
 NS 544-1  7.907e+02  [0 1.000e+00 7.323e-06 5.989e-07]  [43 -143 68]
 NS 544-2s 7.912e+02  [-18 1.246e-01 9.127e-07 9.215e-07]  [40 -139 71]
 NS 545-1  7.917e+02  [0 1.000e+00 5.630e-06 4.874e-07]  [43 -145 68]
 NS 545-2s 7.922e+02  [-21 8.336e-02 4.693e-07 8.118e-07]  [41 -140 72]
 NS 546-1  7.927e+02  [0 1.000e+00 3.974e-06 8.504e-07]  [42 -140 68]
 NS 546-2s 7.932e+02  [-24 5.814e-02 2.310e-07 9.998e-07]  [42 -138 72]
 NS 547-1  7.937e+02  [0 1.000e+00 2.655e-06 8.423e-07]  [42 -140 68]
 NS 547-2s 7.942e+02  [-27 4.308e-02 1.144e-07 9.752e-07]  [38 -138 70]
 NS 548-1  7.947e+02  [0 1.000e+00 1.707e-06 9.313e-07]  [42 -139 68]
 NS 548-2s 7.951e+02  [-28 3.658e-02 6.245e-08 7.333e-07]  [41 -141 71]
 NS 549-1  7.957e+02  [0 1.000e+00 1.066e-06 9.156e-07]  [42 -139 68]
 NS 549-2s 7.961e+02  [-28 3.558e-02 3.794e-08 9.537e-07]  [41 -139 72]
 NS 550-1s 7.967e+02  [0 1.000e+00 6.516e-07 5.269e-07]  [42 -145 68]
