hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 341-1  4.941e+02  [0 1.000e+00 3.473e-05 7.574e-07]  [43 -141 0]
 NS 341-2  4.945e+02  [-7 4.427e-01 1.537e-05 3.617e-07]  [38 -148 69]
 NS 341-3  4.949e+02  [-21 8.457e-02 2.937e-06 6.319e-07]  [38 -143 71]
 NS 341-4s 4.954e+02  [-39 1.062e-02 3.689e-07 7.843e-07]  [37 -141 69]
 NS 342-1  4.959e+02  [0 1.000e+00 2.978e-05 7.330e-07]  [40 -141 66]
 NS 342-2  4.963e+02  [-10 2.885e-01 8.591e-06 9.774e-07]  [38 -138 71]
 NS 342-3  4.968e+02  [-25 5.086e-02 1.514e-06 1.128e-07]  [38 -160 71]
 NS 342-4s 4.972e+02  [-44 6.254e-03 1.862e-07 9.793e-07]  [36 -138 68]
 NS 343-1  4.977e+02  [0 1.000e+00 3.173e-05 7.290e-07]  [39 -141 66]
 NS 343-2  4.981e+02  [-16 1.528e-01 4.850e-06 8.960e-07]  [41 -139 72]
 NS 343-3s 4.986e+02  [-31 2.526e-02 8.016e-07 6.765e-07]  [34 -142 68]
 NS 344-1  4.990e+02  [0 1.000e+00 2.755e-05 6.170e-07]  [39 -143 66]
 NS 344-2  4.995e+02  [-20 9.822e-02 2.706e-06 8.985e-07]  [36 -139 70]
 NS 344-3s 4.999e+02  [-36 1.547e-02 4.262e-07 9.865e-07]  [37 -138 69]
 NS 345-1  5.004e+02  [0 1.000e+00 2.099e-05 5.415e-07]  [39 -144 66]
 NS 345-2  5.008e+02  [-23 6.921e-02 1.453e-06 6.576e-07]  [38 -142 71]
 NS 345-3s 5.013e+02  [-39 1.055e-02 2.213e-07 3.208e-07]  [38 -150 69]
 NS 346-1  5.018e+02  [0 1.000e+00 1.473e-05 8.801e-07]  [39 -139 66]
 NS 346-2s 5.022e+02  [-26 4.977e-02 7.333e-07 9.026e-07]  [38 -139 70]
 NS 347-1  5.027e+02  [0 1.000e+00 9.804e-06 3.738e-07]  [40 -148 67]
 NS 347-2s 5.032e+02  [-28 3.610e-02 3.539e-07 9.718e-07]  [39 -138 70]
 NS 348-1  5.037e+02  [0 1.000e+00 6.285e-06 3.995e-07]  [40 -147 66]
 NS 348-2s 5.041e+02  [-30 2.985e-02 1.876e-07 6.513e-07]  [38 -142 70]
 NS 349-1  5.046e+02  [0 1.000e+00 3.924e-06 4.169e-07]  [40 -147 66]
 NS 349-2s 5.050e+02  [-30 3.037e-02 1.192e-07 4.786e-07]  [38 -146 69]
 NS 350-1  5.055e+02  [0 1.000e+00 2.402e-06 7.291e-07]  [39 -141 66]
 NS 350-2s 5.060e+02  [-29 3.471e-02 8.339e-08 8.003e-07]  [36 -140 69]
