hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 131-1  1.841e+02  [0 1.000e+00 4.175e-05 8.991e-07]  [41 -139 0]
 NS 131-2  1.846e+02  [-5 5.195e-01 2.169e-05 7.780e-07]  [40 -141 71]
 NS 131-3  1.850e+02  [-22 7.869e-02 3.285e-06 5.027e-07]  [41 -145 73]
 NS 131-4s 1.855e+02  [-40 9.822e-03 4.101e-07 1.845e-07]  [41 -155 71]
 NS 132-1  1.860e+02  [0 1.000e+00 4.612e-05 5.664e-07]  [41 -144 67]
 NS 132-2  1.865e+02  [-11 2.575e-01 1.188e-05 8.085e-07]  [40 -140 72]
 NS 132-3  1.869e+02  [-29 3.531e-02 1.629e-06 4.829e-07]  [45 -145 74]
 NS 132-4s 1.875e+02  [-46 4.699e-03 2.167e-07 1.321e-07]  [46 -158 73]
 NS 133-1  1.879e+02  [0 1.000e+00 5.368e-05 3.192e-07]  [40 -150 66]
 NS 133-2  1.884e+02  [-18 1.186e-01 6.366e-06 9.972e-07]  [40 -138 72]
 NS 133-3s 1.889e+02  [-36 1.457e-02 7.822e-07 6.847e-07]  [45 -142 73]
 NS 134-1  1.894e+02  [0 1.000e+00 4.741e-05 5.731e-07]  [40 -144 67]
 NS 134-2  1.898e+02  [-23 6.822e-02 3.235e-06 7.553e-07]  [40 -141 72]
 NS 134-3s 1.904e+02  [-42 7.585e-03 3.596e-07 2.474e-07]  [45 -152 73]
 NS 135-1  1.908e+02  [0 1.000e+00 3.644e-05 3.745e-07]  [40 -148 66]
 NS 135-2  1.913e+02  [-27 4.260e-02 1.553e-06 7.329e-07]  [40 -141 72]
 NS 135-3s 1.918e+02  [-46 4.551e-03 1.659e-07 3.581e-07]  [42 -148 71]
 NS 136-1  1.923e+02  [0 1.000e+00 2.583e-05 1.541e-07]  [41 -157 67]
 NS 136-2s 1.928e+02  [-31 2.758e-02 7.124e-07 6.676e-07]  [41 -142 71]
 NS 137-1  1.932e+02  [0 1.000e+00 1.734e-05 2.353e-07]  [40 -153 67]
 NS 137-2s 1.938e+02  [-34 1.901e-02 3.295e-07 2.383e-07]  [49 -152 75]
 NS 138-1  1.943e+02  [0 1.000e+00 1.118e-05 1.986e-07]  [40 -154 67]
 NS 138-2s 1.948e+02  [-36 1.534e-02 1.716e-07 2.971e-07]  [43 -150 72]
 NS 139-1  1.952e+02  [0 1.000e+00 6.999e-06 1.997e-07]  [40 -154 66]
 NS 139-2s 1.957e+02  [-36 1.559e-02 1.091e-07 3.800e-07]  [41 -148 71]
 NS 140-1  1.962e+02  [0 1.000e+00 4.275e-06 9.940e-07]  [39 -138 66]
 NS 140-2s 1.967e+02  [-34 1.825e-02 7.803e-08 6.133e-07]  [40 -143 71]
