hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 241-1  3.481e+02  [0 1.000e+00 9.154e-06 8.297e-07]  [39 -140 0]
 NS 241-2  3.485e+02  [-6 4.490e-01 4.110e-06 5.549e-07]  [42 -144 72]
 NS 241-3s 3.490e+02  [-21 8.701e-02 7.965e-07 9.891e-07]  [40 -138 71]
 NS 242-1  3.495e+02  [0 1.000e+00 1.004e-05 5.346e-07]  [43 -144 68]
 NS 242-2  3.500e+02  [-13 2.234e-01 2.244e-06 4.165e-07]  [43 -147 73]
 NS 242-3s 3.505e+02  [-27 4.126e-02 4.144e-07 3.335e-07]  [42 -149 72]
 NS 243-1  3.510e+02  [0 1.000e+00 1.023e-05 9.987e-07]  [40 -138 66]
 NS 243-2  3.514e+02  [-18 1.186e-01 1.213e-06 8.303e-07]  [40 -140 72]
 NS 243-3s 3.519e+02  [-33 2.106e-02 2.155e-07 2.535e-07]  [43 -152 72]
 NS 244-1  3.524e+02  [0 1.000e+00 8.604e-06 9.739e-07]  [41 -138 67]
 NS 244-2s 3.529e+02  [-22 7.310e-02 6.290e-07 4.207e-07]  [42 -147 72]
 NS 245-1  3.534e+02  [0 1.000e+00 6.461e-06 9.971e-07]  [41 -138 67]
 NS 245-2s 3.538e+02  [-26 4.685e-02 3.027e-07 5.548e-07]  [43 -144 72]
 NS 246-1  3.543e+02  [0 1.000e+00 4.501e-06 9.922e-07]  [41 -138 67]
 NS 246-2s 3.548e+02  [-30 3.157e-02 1.421e-07 7.169e-07]  [39 -141 70]
 NS 247-1  3.553e+02  [0 1.000e+00 2.982e-06 2.586e-07]  [44 -152 68]
 NS 247-2s 3.558e+02  [-32 2.330e-02 6.949e-08 7.214e-07]  [38 -141 70]
 NS 248-1  3.563e+02  [0 1.000e+00 1.906e-06 2.676e-07]  [44 -151 69]
 NS 248-2s 3.568e+02  [-33 2.005e-02 3.823e-08 6.598e-07]  [40 -142 71]
 NS 249-1  3.573e+02  [0 1.000e+00 1.186e-06 9.167e-07]  [43 -139 68]
 NS 249-2s 3.577e+02  [-34 1.955e-02 2.319e-08 9.190e-07]  [38 -139 70]
 NS 250-1s 3.582e+02  [0 1.000e+00 7.223e-07 9.953e-07]  [43 -138 67]
