hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 551-1  7.961e+02  [0 1.000e+00 1.375e-05 8.034e-07]  [41 -140 0]
 NS 551-2  7.965e+02  [-5 5.101e-01 7.013e-06 8.603e-07]  [38 -140 70]
 NS 551-3s 7.970e+02  [-24 6.113e-02 8.404e-07 7.806e-07]  [37 -141 70]
 NS 552-1  7.974e+02  [0 1.000e+00 4.512e-05 8.631e-07]  [37 -140 65]
 NS 552-2  7.979e+02  [-20 9.218e-02 4.159e-06 8.214e-07]  [40 -140 72]
 NS 552-3s 7.983e+02  [-38 1.223e-02 5.519e-07 8.826e-07]  [37 -139 69]
 NS 553-1  7.988e+02  [0 1.000e+00 5.370e-05 4.554e-07]  [38 -146 66]
 NS 553-2  7.993e+02  [-27 4.112e-02 2.208e-06 5.077e-07]  [43 -145 73]
 NS 553-3s 7.998e+02  [-44 6.011e-03 3.227e-07 5.629e-07]  [42 -144 72]
 NS 554-1  8.002e+02  [0 1.000e+00 4.707e-05 6.955e-07]  [37 -142 65]
 NS 554-2  8.007e+02  [-33 2.220e-02 1.045e-06 6.355e-07]  [42 -143 73]
 NS 554-3s 8.012e+02  [-49 3.283e-03 1.545e-07 1.637e-07]  [41 -156 71]
 NS 555-1  8.017e+02  [0 1.000e+00 3.598e-05 8.027e-07]  [37 -140 65]
 NS 555-2s 8.021e+02  [-37 1.376e-02 4.951e-07 2.706e-07]  [41 -151 71]
 NS 556-1  8.026e+02  [0 1.000e+00 2.538e-05 4.549e-07]  [38 -146 65]
 NS 556-2s 8.031e+02  [-39 1.065e-02 2.701e-07 5.206e-07]  [39 -145 71]
 NS 557-1  8.035e+02  [0 1.000e+00 1.695e-05 4.840e-07]  [38 -145 65]
 NS 557-2s 8.040e+02  [-39 1.075e-02 1.822e-07 7.356e-07]  [42 -141 72]
 NS 558-1  8.045e+02  [0 1.000e+00 1.088e-05 9.470e-07]  [36 -139 64]
 NS 558-2s 8.049e+02  [-38 1.223e-02 1.331e-07 4.035e-07]  [39 -147 70]
 NS 559-1  8.054e+02  [0 1.000e+00 6.790e-06 9.425e-07]  [36 -139 64]
 NS 559-2s 8.059e+02  [-37 1.301e-02 8.832e-08 7.929e-07]  [39 -140 71]
 NS 560-1  8.063e+02  [0 1.000e+00 4.143e-06 9.543e-07]  [36 -139 65]
 NS 560-2s 8.068e+02  [-38 1.231e-02 5.102e-08 9.711e-07]  [38 -138 70]
