hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 421-1  6.049e+02  [0 1.000e+00 8.685e-06 9.989e-07]  [39 -138 0]
 NS 421-2  6.053e+02  [-5 5.021e-01 4.361e-06 3.126e-07]  [39 -150 71]
 NS 421-3s 6.058e+02  [-20 9.143e-02 7.941e-07 3.042e-07]  [39 -150 71]
 NS 422-1  6.063e+02  [0 1.000e+00 2.111e-05 6.460e-07]  [38 -143 66]
 NS 422-2  6.067e+02  [-19 1.084e-01 2.288e-06 8.062e-07]  [39 -140 72]
 NS 422-3s 6.072e+02  [-35 1.723e-02 3.638e-07 2.502e-07]  [38 -152 70]
 NS 423-1  6.077e+02  [0 1.000e+00 2.448e-05 6.385e-07]  [37 -143 65]
 NS 423-2  6.081e+02  [-26 4.906e-02 1.201e-06 9.923e-07]  [38 -138 71]
 NS 423-3s 6.085e+02  [-42 7.489e-03 1.833e-07 8.554e-07]  [36 -140 69]
 NS 424-1  6.090e+02  [0 1.000e+00 2.128e-05 5.723e-07]  [37 -144 65]
 NS 424-2s 6.095e+02  [-30 2.872e-02 6.111e-07 8.125e-07]  [39 -140 70]
 NS 425-1  6.099e+02  [0 1.000e+00 1.621e-05 5.739e-07]  [37 -144 66]
 NS 425-2s 6.104e+02  [-34 1.875e-02 3.039e-07 7.869e-07]  [39 -141 71]
 NS 426-1  6.109e+02  [0 1.000e+00 1.140e-05 5.752e-07]  [37 -144 65]
 NS 426-2s 6.113e+02  [-37 1.333e-02 1.521e-07 6.564e-07]  [39 -142 70]
 NS 427-1  6.118e+02  [0 1.000e+00 7.609e-06 5.416e-07]  [37 -144 66]
 NS 427-2s 6.123e+02  [-40 9.871e-03 7.510e-08 8.131e-07]  [38 -140 70]
 NS 428-1  6.127e+02  [0 1.000e+00 4.883e-06 5.405e-07]  [37 -144 66]
 NS 428-2s 6.132e+02  [-41 8.325e-03 4.065e-08 9.242e-07]  [39 -139 71]
 NS 429-1  6.137e+02  [0 1.000e+00 3.044e-06 5.242e-07]  [37 -145 66]
 NS 429-2s 6.142e+02  [-41 8.432e-03 2.567e-08 4.204e-07]  [39 -147 71]
 NS 430-1  6.146e+02  [0 1.000e+00 1.856e-06 5.348e-07]  [37 -144 66]
 NS 430-2s 6.151e+02  [-40 8.983e-03 1.667e-08 6.504e-07]  [39 -142 71]
